mid,ep,utt_start,utt_end,n_utt
2024.10.14startup_a,0,0,10,11
2024.10.14startup_a,1,11,28,18
2024.10.14startup_a,2,29,44,16
2024.10.14startup_a,3,45,62,18
2024.10.14startup_a,4,63,75,13
2024.10.14startup_a,5,76,87,12
2024.10.14startup_a,6,88,119,32
2024.10.14startup_a,7,120,128,9
2024.10.14startup_a,8,129,138,10
2024.10.14startup_a,9,139,153,15
2024.10.14startup_a,10,154,180,27
2024.10.14startup_a,11,181,195,15
2024.10.14startup_a,12,196,206,11
2024.10.14startup_a,13,207,227,21
2024.10.14startup_a,14,228,239,12
2024.10.14startup_a,15,240,298,59
2024.10.14startup_a,16,299,310,12
2024.10.14startup_a,17,311,324,14
2024.10.14startup_a,18,325,348,24
2024.10.14startup_a,19,349,382,34
2024.10.14startup_a,20,383,400,18
2024.10.14startup_a,21,401,410,10
2024.10.14startup_a,22,411,426,16
2024.10.14startup_a,23,427,439,13
2024.10.14startup_a,24,440,455,16
2024.10.14startup_a,25,456,471,16
2024.10.14startup_a,26,472,489,18
2024.10.14startup_a,27,490,503,14
2024.10.14startup_b,0,0,19,20
2024.10.14startup_b,1,20,41,22
2024.10.14startup_b,2,42,60,19
2024.10.14startup_b,3,61,84,24
2024.10.14startup_b,4,85,97,13
2024.10.14startup_b,5,98,110,13
2024.10.14startup_b,6,111,125,15
2024.10.14startup_b,7,126,137,12
2024.10.14startup_b,8,138,160,23
2024.10.14startup_b,9,161,171,11
2024.10.14startup_b,10,172,186,15
2024.10.14startup_b,11,187,210,24
2024.10.14startup_b,12,211,220,10
2024.10.14startup_b,13,221,238,18
2024.10.14startup_b,14,239,256,18
2024.10.14startup_b,15,257,271,15
2024.10.14startup_b,16,272,282,11
2024.10.14startup_b,17,283,297,15
2024.10.14startup_b,18,298,322,25
2024.10.14startup_b,19,323,340,18
2024.10.14startup_b,20,341,355,15
2024.10.14startup_b,21,356,368,13
2024.10.14startup_b,22,369,389,21
2024.10.14startup_b,23,390,404,15
2024.10.14startup_b,24,405,426,22
2024.10.14startup_b,25,427,441,15
2024.10.14startup_b,26,442,459,18
2024.10.14startup_b,27,460,477,18
2024.10.14startup_b,28,478,490,13
2024.10.14startup_b,29,491,500,10
2024.10.14startup_b,30,501,517,17
2024.10.14startup_b,31,518,531,14
2024.10.14startup_b,32,532,546,15
2024.10.14startup_b,33,547,558,12
2024.10.14startup_b,34,559,583,25
2024.10.14startup_b,35,584,606,23
2024.10.14startup_b,36,607,625,19
2024.10.14startup_b,37,626,649,24
2024.10.14startup_b,38,650,668,19
2024.10.14startup_b,39,669,717,49
2024.10.14startup_b,40,718,737,20
2024.10.14startup_b,41,738,751,14
2024.10.14startup_b,42,752,760,9
2024.10.14startup_b,43,761,780,20
2024.10.14startup_b,44,781,807,27
2024.10.14startup_b,45,808,820,13
2024.10.14startup_b,46,821,846,26
