mid,episode,utt_start,utt_end,n_utt,sec_start,sec_end
2024.10.14startup_a,0,0,44,45,0.0,434.0
2024.10.14startup_a,1,45,87,43,465.0,979.0
2024.10.14startup_a,2,88,206,119,1003.0,2228.0
2024.10.14startup_a,3,207,227,21,2228.0,2510.0
2024.10.14startup_a,4,228,298,71,2531.0,3279.0
2024.10.14startup_a,5,299,348,50,3281.0,3776.0
2024.10.14startup_a,6,349,382,34,3786.0,4281.0
2024.10.14startup_a,7,383,439,57,4282.0,4913.0
2024.10.14startup_a,8,440,471,32,4922.0,5181.0
2024.10.14startup_a,9,472,503,32,5186.0,5485.0
2024.10.14startup_b,0,0,41,42,0.0,439.0
2024.10.14startup_b,1,42,110,69,455.0,841.0
2024.10.14startup_b,2,111,137,27,854.0,991.0
2024.10.14startup_b,3,138,186,49,994.0,1254.0
2024.10.14startup_b,4,187,297,111,1257.0,2043.0
2024.10.14startup_b,5,298,322,25,2045.0,2187.0
2024.10.14startup_b,6,323,404,82,2190.0,2790.0
2024.10.14startup_b,7,405,459,55,2792.0,3059.0
2024.10.14startup_b,8,460,490,31,3066.0,3377.0
2024.10.14startup_b,9,491,517,27,3387.0,3554.0
2024.10.14startup_b,10,518,558,41,3557.0,3714.0
2024.10.14startup_b,11,559,583,25,3718.0,3869.0
2024.10.14startup_b,12,584,625,42,3870.0,4261.0
2024.10.14startup_b,13,626,717,92,4279.0,4697.0
2024.10.14startup_b,14,718,751,34,4697.0,4819.0
2024.10.14startup_b,15,752,820,69,4822.0,5170.0
2024.10.14startup_b,16,821,857,37,5173.0,6044.0
2024.10.25startup_a,0,0,34,35,0.0,409.0
2024.10.25startup_a,1,35,104,70,417.0,1420.0
2024.10.25startup_a,2,105,137,33,1427.0,1643.0
2024.10.25startup_a,3,138,191,54,1644.0,2245.0
2024.10.25startup_a,4,192,246,55,2248.0,2604.0
2024.10.25startup_a,5,247,282,36,2606.0,3111.0
2024.10.25startup_a,6,283,322,40,3111.0,3621.0
