mid,team,date,rating_found,rating_n,rating_mean,rating_min,rating_max,n_todos_assigned,n_issues_raised,n_issues_resolved_same_meeting,issue_resolution_rate_same_meeting,week,n_todos_tracked,n_todos_done,n_todos_partial,n_todos_not_done,n_todos_unmentioned,todo_completion_rate,dur_min,baseline_entropy,entropy_sd,det_median,pct_time_reorganizing,n_events,reorg_event_rate,mean_event_depth,mean_event_peak_z,boundary_alignment_pct,n_bounds,ids_entropy,ids_det,ids_reorg_rate,review_entropy,review_det,review_reorg_rate
2024.10.14startup_a,startup_a,20241014,True,3,6.666666666666667,6.0,8.0,5,4,4,100.0,0,5.0,1.0,1.0,2.0,1.0,37.5,89.15,38.289580213236206,15.075321865250189,85.74596722652555,3.724604966139955,29,3.2529444756029164,7.016434177530782,3.1810852596367587,9.000933706816063,35,35.799767632446994,83.74023311077381,3.696857670979667,35.13443711208005,82.24215320283226,4.4343891402714934
2024.10.25startup_a,startup_a,20241025,True,3,9.333333333333334,9.0,10.0,4,6,4,66.66666666666667,1,4.0,0.0,1.0,1.0,2.0,25.0,85.78333333333333,36.58514527435609,17.459504025858465,88.7161952129313,3.9992080776083943,21,2.4480279774625995,14.990471186765122,3.287013761205539,6.670086238244607,35,34.71762118179213,80.2330605617016,4.015020219526285,39.647462978185374,81.9138955137653,8.074534161490684
2024.11.04startup_a,startup_a,20241104,True,3,9.333333333333334,9.0,10.0,4,9,7,77.77777777777777,2,4.0,0.0,4.0,0.0,0.0,50.0,85.83333333333333,31.137461331154803,15.850529247290376,91.63438851225108,3.88560157790927,26,3.029126213592233,13.379237926015152,3.616021474855425,30.170742962621137,27,29.88031232019861,87.04100079141801,2.7777777777777777,22.834163009762175,93.00047658823676,1.0273972602739727
2024.11.11startup_a,startup_a,20241111,True,2,10.0,10.0,10.0,3,3,1,33.333333333333336,3,3.0,1.0,0.0,1.0,1.0,50.0,85.98333333333333,37.82542204965104,14.937593559377888,86.27012522361359,3.665024630541872,24,2.7912386121341344,11.246981280498966,3.230606849038361,41.06074401664933,29,38.88387190582361,80.6807473548494,2.151898734177215,34.02147093316011,83.42777466657003,3.6614645858343335
2024.11.18startup_a,startup_a,20241118,True,2,10.0,10.0,10.0,2,2,2,100.0,4,2.0,1.0,0.0,0.0,1.0,100.0,87.63333333333334,29.39259495193931,15.968779872137684,93.19122516556293,3.4476190476190474,21,2.3963484214530237,14.839789128359708,3.3276690200157453,10.86843922651934,26,26.48258220644623,88.54314918087071,3.8536585365853657,25.464354285887172,90.306338055844,0.0
2024.12.09startup_a,startup_a,20241209,True,2,8.5,8.0,9.0,6,4,2,50.0,5,6.0,1.0,2.0,1.0,2.0,50.0,88.06666666666666,37.05492600325254,17.113409872866026,86.69629032825932,3.307692307692308,25,2.838758516275549,14.621635508914473,3.147263632801063,34.737184879650485,34,35.69012444982981,81.98757296047555,2.102733553619706,37.7002830855125,75.39989032497505,7.231040564373898
2024.12.13startup_a,startup_a,20241213,True,2,9.0,9.0,9.0,2,3,2,66.66666666666667,6,2.0,1.0,0.0,0.0,1.0,100.0,84.63333333333334,44.765317825837826,21.046835723057164,88.55021492770614,4.093335969942654,16,1.8905080740448992,18.16008990443759,3.5078114096453987,51.409214813238016,33,41.079059230775464,82.3166311399472,4.172413793103448,47.24157205175651,83.76242836221392,4.818383988139362
2024.12.23startup_a,startup_a,20241223,True,2,9.0,9.0,9.0,2,4,3,75.0,7,2.0,1.0,1.0,0.0,0.0,75.0,87.23333333333333,34.484530260204686,15.401984651365304,89.34987924196889,3.9435530639860814,24,2.7512418800152845,14.015569534203207,3.5679289227458333,8.759490510845907,30,32.37695324890909,82.39188150279645,4.194388197859416,32.76398575884426,87.77113366233982,2.0999275887038373
2025.01.06startup_a,startup_a,20250106,True,2,9.5,9.0,10.0,3,7,6,85.71428571428571,8,3.0,1.0,1.0,0.0,1.0,75.0,92.9,51.80858607762684,21.227801159771538,81.11600587371512,3.317020119630234,27,2.906350914962325,16.999933596872264,3.1324442880425827,31.83401948234875,42,51.768178610891766,75.59588053726826,2.818489289740699,32.81022566095806,92.4624034759488,4.545454545454546
2025.01.13startup_a,startup_a,20250113,True,1,10.0,10.0,10.0,4,2,1,50.0,9,4.0,0.0,3.0,0.0,1.0,50.0,88.31666666666666,30.66685337376653,14.232413178567509,92.01604083120672,3.780395136778115,29,3.2836384223438384,13.226312393135428,3.2020879050296425,24.7966488677084,28,28.012334488330033,87.66100302691471,3.702835715959691,34.472820291981904,88.9939892677643,6.249999999999999
2025.02.24startup_a,startup_a,20250224,True,1,8.0,8.0,8.0,6,1,1,100.0,10,6.0,0.0,3.0,0.0,3.0,50.0,83.53333333333333,35.460158902990926,16.40578370055313,87.8319950586782,3.5275146139891147,25,2.9928172386272944,13.93646855979876,3.1872584295329824,16.6218487394958,27,28.201270187171048,84.92042783403132,2.714477211796247,41.251862123155526,80.80025557818205,3.9201183431952664
2025.03.02startup_a,startup_a,20250302,True,1,9.0,9.0,9.0,5,3,2,66.66666666666667,11,5.0,1.0,2.0,0.0,2.0,66.66666666666667,85.78333333333333,32.19582407398512,16.843106510364915,92.66767306448136,2.7859525210908376,24,2.7977462599572567,11.908966334660605,3.424247990379305,27.759766144034018,22,28.187543505297675,87.05080216390617,2.613430127041742,34.17032831167588,89.54676237502794,0.4801920768307323
2025.03.17startup_a,startup_a,20250317,True,2,9.5,9.0,10.0,5,2,1,50.0,12,5.0,0.0,4.0,0.0,1.0,50.0,86.06666666666666,34.45922996685474,16.078689268648215,89.59370127571049,3.116424931399451,21,2.43996901626646,14.973230510107111,3.4958131349700805,19.031798438540388,28,28.811680693457212,86.74327544668145,2.405271828665568,32.89880321118698,86.2657534440606,2.735978112175103
