mid,team,date,event_onset_s,event_class,event_class_s9rule,depth,init_primary,init_floor,init_question,facilitator,facilitator_primary,facilitator_floor,facilitator_question,week
2024.10.14startup_a,startup_a,20241014,210.0,TRANSITION,TRANSITION,15.905089897449706,FACILITATOR,A2,,FACILITATOR,1,0,,0
2024.10.14startup_a,startup_a,20241014,271.0,INTERIOR_OTHER,INTERIOR_OTHER,12.172085756320833,FACILITATOR,FACILITATOR,,FACILITATOR,1,1,,0
2024.10.14startup_a,startup_a,20241014,318.0,INTERIOR_OTHER,INTERIOR_HANDOFF,15.559587296243784,FACILITATOR,A3,FACILITATOR,FACILITATOR,1,0,1.0,0
2024.10.14startup_a,startup_a,20241014,359.0,INTERIOR_HANDOFF,INTERIOR_HANDOFF,6.693081724516794,A1,FACILITATOR,A1,FACILITATOR,0,1,0.0,0
2024.10.14startup_a,startup_a,20241014,441.0,TRANSITION,TRANSITION,-2.1325661322745972,FACILITATOR,FACILITATOR,,FACILITATOR,1,1,,0
2024.10.14startup_a,startup_a,20241014,553.0,INTERIOR_HANDOFF,INTERIOR_HANDOFF,1.7550293134570651,FACILITATOR,A3,A3,FACILITATOR,1,0,0.0,0
2024.10.14startup_a,startup_a,20241014,609.0,INTERIOR_OTHER,INTERIOR_OTHER,1.338919707889012,FACILITATOR,FACILITATOR,FACILITATOR,FACILITATOR,1,1,1.0,0
2024.10.14startup_a,startup_a,20241014,927.0,INTERIOR_HANDOFF,INTERIOR_OTHER,-7.599254386443803,FACILITATOR,FACILITATOR,,FACILITATOR,1,1,,0
2024.10.14startup_a,startup_a,20241014,966.0,TRANSITION,TRANSITION,14.672003062789763,FACILITATOR,A1,A2,FACILITATOR,1,0,0.0,0
2024.10.14startup_a,startup_a,20241014,1029.0,TRANSITION,TRANSITION,6.229175574327478,FACILITATOR,A1,,FACILITATOR,1,0,,0
2024.10.14startup_a,startup_a,20241014,1413.0,TRANSITION,TRANSITION,15.263772059848456,A1,FACILITATOR,FACILITATOR,FACILITATOR,0,1,1.0,0
2024.10.14startup_a,startup_a,20241014,1744.0,INTERIOR_OTHER,INTERIOR_OTHER,2.260994296043897,A2,A2,,FACILITATOR,0,0,,0
2024.10.14startup_a,startup_a,20241014,1900.0,INTERIOR_HANDOFF,INTERIOR_OTHER,14.504291918315182,A2,FACILITATOR,FACILITATOR,FACILITATOR,0,1,1.0,0
2024.10.14startup_a,startup_a,20241014,1963.0,TRANSITION,TRANSITION,-19.00705659992571,FACILITATOR,FACILITATOR,,FACILITATOR,1,1,,0
2024.10.14startup_a,startup_a,20241014,2052.0,INTERIOR_HANDOFF,INTERIOR_OTHER,0.7536393343806722,FACILITATOR,A2,FACILITATOR,FACILITATOR,1,0,1.0,0
2024.10.14startup_a,startup_a,20241014,2126.0,INTERIOR_HANDOFF,INTERIOR_OTHER,-14.353211875023991,FACILITATOR,FACILITATOR,,FACILITATOR,1,1,,0
2024.10.14startup_a,startup_a,20241014,2203.0,TRANSITION,TRANSITION,21.035320567340925,A3,FACILITATOR,FACILITATOR,FACILITATOR,0,1,1.0,0
2024.10.14startup_a,startup_a,20241014,2436.0,INTERIOR_HANDOFF,INTERIOR_OTHER,10.261239775155126,A1,FACILITATOR,FACILITATOR,FACILITATOR,0,1,1.0,0
2024.10.14startup_a,startup_a,20241014,2487.0,INTERIOR_HANDOFF,INTERIOR_HANDOFF,16.16889847437573,FACILITATOR,A1,,FACILITATOR,1,0,,0
2024.10.14startup_a,startup_a,20241014,2777.0,INTERIOR_HANDOFF,INTERIOR_OTHER,-8.837945352865962,FACILITATOR,FACILITATOR,,FACILITATOR,1,1,,0
2024.10.14startup_a,startup_a,20241014,2829.0,INTERIOR_OTHER,INTERIOR_OTHER,2.666226891531956,FACILITATOR,FACILITATOR,FACILITATOR,FACILITATOR,1,1,1.0,0
2024.10.14startup_a,startup_a,20241014,2931.0,INTERIOR_HANDOFF,INTERIOR_OTHER,8.78795594284231,FACILITATOR,A1,FACILITATOR,FACILITATOR,1,0,1.0,0
2024.10.14startup_a,startup_a,20241014,3656.0,INTERIOR_HANDOFF,INTERIOR_HANDOFF,-0.9121666504205947,FACILITATOR,A2,FACILITATOR,FACILITATOR,1,0,1.0,0
2024.10.14startup_a,startup_a,20241014,3713.0,INTERIOR_HANDOFF,INTERIOR_OTHER,0.6363400056222801,FACILITATOR,FACILITATOR,FACILITATOR,FACILITATOR,1,1,1.0,0
