mid,facilitator_raw_id,n_facilitator_utt,n_total_utt,pct_consistent
2024.10.14startup_a,2,219,504,100.0
2024.10.14startup_b,1,287,858,100.0
2024.10.25startup_a,1,199,513,100.0
2024.10.28startup_b,2,121,532,100.0
2024.11.04startup_a,1,164,420,100.0
2024.11.04startup_b,1,140,461,100.0
2024.11.11startup_a,1,163,431,100.0
2024.11.11startup_b,1,187,670,100.0
2024.11.18startup_a,1,150,368,100.0
2024.11.18startup_b,1,150,507,100.0
2024.12.02startup_b,2,240,922,100.0
2024.12.09startup_a,2,182,514,100.0
2024.12.13startup_a,1,199,491,100.0
2024.12.16startup_b,1,202,662,100.0
2024.12.23startup_a,2,149,439,100.0
2024.12.23startup_b,1,209,531,100.0
2025.01.06startup_a,2,253,657,100.0
2025.01.06startup_b,1,179,501,100.0
2025.01.13startup_a,1,179,415,100.0
2025.01.13startup_b,1,184,471,100.0
2025.02.10startup_b,1,189,481,100.0
2025.02.24startup_a,2,151,391,100.0
2025.02.24startup_b,3,179,405,100.0
2025.03.02startup_a,1,118,324,100.0
2025.03.17startup_a,1,172,386,100.0
2025.03.17startup_b,1,275,718,100.0
2025.03.24startup_b,2,195,559,100.0
2025.03.25startup_a,2,152,358,100.0
2025.03.31startup_a,1,149,357,100.0
2025.03.31startup_b,1,181,441,100.0
2025.04.07startup_a,1,244,542,100.0
2025.04.07startup_b,1,292,767,100.0
2025.04.14startup_a,1,216,475,100.0
2025.04.14startup_b,2,178,417,100.0
