mid,e_b,e_i,d_b,d_i
2024.10.14startup_a,43.90942661021422,35.401331561777596,72.79122494110044,83.9865761901803
2024.10.14startup_b,48.91371969556012,42.172441287458476,61.439863727506626,70.8827473201103
2024.10.25startup_a,37.931367425343424,34.4267224999597,75.22699954562793,82.17472485987132
2024.10.28startup_b,33.80133945881735,34.58598799968695,80.93637319267016,80.70694919899107
2024.11.04startup_a,34.984248559793336,28.489002424982957,82.28757896479797,87.5172988678736
2024.11.04startup_b,38.78100874752237,38.67835665333445,73.28467997205148,80.8726925233079
2024.11.11startup_a,34.613619992993044,35.39573991568861,84.88909652968324,82.33563142468353
2024.11.11startup_b,54.42997826076623,37.92517028109227,56.05550855508314,77.98452876449736
2024.11.18startup_a,34.465936561776545,26.4571708785371,84.72598132550694,88.63800837242573
2024.11.18startup_b,45.350934266518934,34.92019383999531,68.98511624830007,80.97421494790281
2024.12.02startup_b,46.52373910704003,50.33974148100858,61.44237994667025,55.975974769209664
2024.12.09startup_a,42.05305008282546,34.18671195915724,66.9128059659289,82.47130929292229
2024.12.13startup_a,51.1621188483553,42.1289892126559,77.42350484461096,83.20408082482882
2024.12.16startup_b,44.54002231992555,39.72539671932876,77.06983587580832,75.89939000774226
2024.12.23startup_a,41.85051833634199,31.865923148009987,78.26509570757715,84.6222663046438
2024.12.23startup_b,41.770732175524515,32.43282544151342,65.96035571956075,80.9157185588549
2025.01.06startup_a,47.77533595124441,48.9141692672168,82.9846211951872,77.84818292195149
2025.01.06startup_b,51.061490805306406,42.70600206656413,73.26946834797586,83.48725577612971
2025.01.13startup_a,42.26243328992913,27.792034144162297,83.14670388562715,88.3615946961997
2025.01.13startup_b,42.196843714381224,28.952648169144574,73.38748822801402,84.71172850299875
2025.02.10startup_b,52.50717764229503,48.1916104866689,69.41011940318481,79.55803481829994
2025.02.24startup_a,46.98556859960194,32.19545867754846,66.32796558502152,83.95821093954287
2025.02.24startup_b,41.678801436080825,31.336556755636128,80.87247789545397,85.25971673846713
2025.03.02startup_a,35.64508540981736,27.996011590013527,79.29415186705351,87.40443514732017
2025.03.17startup_a,31.064282027332872,23.707657738411573,82.73399945049194,86.29671012538304
2025.03.17startup_b,43.94018976986182,29.78272093680421,59.16217081661256,75.21805743911578
2025.03.24startup_b,42.79613307688496,32.20952613118823,65.30032662010824,73.22222606941045
2025.03.25startup_a,29.807303568030772,22.929800512234387,85.7957871571682,87.74544194968928
2025.03.31startup_a,34.88582234458059,24.681142562757035,79.08260056900734,85.59721292263916
2025.03.31startup_b,36.65221943553169,21.262445679337674,76.14105525012245,87.75714982256187
2025.04.07startup_a,36.87127167325353,26.435012768713968,79.742225207191,83.1464549151312
2025.04.07startup_b,37.900584821508,32.8926994192622,66.2432907175252,72.84558871908413
2025.04.14startup_a,50.00655305840066,25.052653480460574,67.1499367759625,87.87947734917459
2025.04.14startup_b,25.970409415969105,25.438595368413488,88.51040065920073,85.60345519589205
