,segue,scorecard,rock_review,headlines,todo,ids,conclude
CACS:arguable,51.28,52.71,53.3,53.83,54.89,59.02,45.89
CACS:convergent,13.24,12.05,13.04,16.26,12.75,14.27,19.74
CACS:disagreement,3.75,4.22,6.28,4.3,5.55,6.23,2.93
CACS:delimiting,13.72,13.25,13.69,14.02,14.68,14.68,12.61
CACS:non-arguable,24.32,23.04,22.71,20.56,23.73,19.39,35.83
IAM:sharing/comparing,41.63,41.42,38.0,39.07,40.06,40.72,36.56
IAM:dissonance,3.19,3.92,5.8,3.74,5.32,5.88,2.93
IAM:negotiation,11.64,12.65,12.56,13.46,13.67,16.65,10.05
IAM:testing,4.55,4.97,5.96,5.23,5.55,8.39,4.39
IAM:agreement/application,3.91,4.37,3.38,6.36,4.62,5.84,11.33
Mercer:disputational,1.28,1.05,2.09,0.75,2.58,2.03,1.46
Mercer:cumulative,22.41,21.69,19.48,23.55,20.34,20.77,24.13
Mercer:exploratory,14.27,15.66,18.04,18.32,17.91,21.27,11.88
Bales:gives information,44.1,42.02,40.9,42.06,41.6,42.4,34.19
Bales:gives opinion,23.21,22.59,25.44,28.22,24.88,28.84,26.51
Bales:gives suggestion,10.13,12.8,13.04,13.08,13.41,14.65,8.59
Bales:asks information,7.97,5.87,6.92,5.98,6.78,5.84,2.93
Bales:asks opinion,3.35,3.16,4.19,3.55,3.39,4.09,3.11
Bales:asks suggestion,0.96,1.05,1.61,0.56,1.39,1.26,0.73
Bales:solidarity,6.94,6.02,4.67,9.72,4.89,6.1,19.74
Bales:tension release,1.44,1.05,1.13,1.68,0.54,1.14,7.31
Bales:agrees,12.12,11.3,12.08,14.58,12.56,13.38,16.45
Bales:disagrees,2.07,2.86,4.67,2.24,3.54,4.09,2.56
Bales:shows tension,0.88,0.6,1.61,0.37,0.5,0.47,0.73
Bales:antagonism,0.0,0.0,0.0,0.0,0.08,0.03,0.18
ISO:set-question,4.7,3.61,4.19,3.74,4.01,4.68,2.74
ISO:propositional-q,8.61,7.08,8.05,6.36,7.01,7.53,4.57
ISO:directive,6.14,9.79,9.66,9.53,10.17,10.48,7.31
ISO:commissive,4.78,3.77,4.51,4.11,4.74,3.79,7.13
ISO:feedback,7.81,7.23,8.05,8.97,7.47,8.11,11.52
act4teams:names problem,8.29,8.58,10.14,10.09,10.63,10.84,5.67
act4teams:links problem,6.54,6.63,7.57,8.6,7.78,9.63,4.2
act4teams:names solution,9.81,9.94,9.66,12.15,10.9,13.2,6.76
act4teams:links solution,5.82,5.57,6.92,6.54,7.09,9.94,3.29
act4teams:links to consequence,4.23,4.37,4.35,7.1,4.89,7.41,3.11
act4teams:procedural,0.4,0.15,0.32,0.19,0.08,0.14,0.73
act4teams:proactive,17.22,16.72,16.26,18.32,17.22,18.75,17.55
act4teams:structuring,10.21,12.8,12.08,11.59,12.33,11.76,13.71
act4teams:gives information,31.66,28.31,25.93,30.09,24.42,25.44,17.18
act4teams:knowledge transfer,11.96,13.1,12.4,15.14,12.75,16.06,8.59
act4teams:cooperation,6.46,4.97,4.19,8.41,4.08,5.01,22.12
