cat,tax,label,n,review,ids,delta,p,q,sig
nonarg,CACS,non-arguable,32,24.35,19.172,5.177,0.0,0.0,***
ginfo,act4teams,gives information,32,26.984,24.877,2.107,0.008,0.019,*
struct,act4teams,structuring,32,13.24,11.564,1.675,0.074,0.116,
commissive,ISO,commissive,32,4.469,3.819,0.65,0.262,0.357,
baskinfo,Bales,asks information,32,6.222,5.633,0.59,0.287,0.367,
btensh,Bales,shows tension,32,0.991,0.479,0.512,0.042,0.068,
feedback,ISO,feedback,32,8.101,7.861,0.24,0.512,0.586,
bantag,Bales,antagonism,32,0.091,0.019,0.072,0.655,0.726,
cumul,Mercer,cumulative,32,20.773,20.731,0.041,0.978,0.993,
bgiveinfo,Bales,gives information,32,41.722,41.689,0.033,0.993,0.993,
cprod,act4teams,procedural,32,0.15,0.156,-0.006,0.515,0.586,
basksug,Bales,asks suggestion,32,1.228,1.287,-0.06,0.705,0.761,
coop,act4teams,cooperation,32,5.174,5.236,-0.063,0.313,0.388,
disput,Mercer,disputational,32,1.76,1.839,-0.079,0.755,0.794,
btension,Bales,tension release,32,0.977,1.155,-0.178,0.094,0.142,
bsolid,Bales,solidarity,32,6.125,6.37,-0.246,0.27,0.357,
iam1,IAM,sharing/comparing,32,39.859,40.16,-0.302,0.443,0.534,
qprop,ISO,propositional-q,32,6.924,7.349,-0.424,0.19,0.269,
bagree,Bales,agrees,32,12.515,13.047,-0.532,0.115,0.168,
iam5,IAM,agreement/application,32,4.882,5.548,-0.667,0.003,0.009,**
converge,CACS,convergent,32,13.075,13.756,-0.681,0.019,0.036,*
iam2,IAM,dissonance,32,4.708,5.421,-0.713,0.01,0.021,*
disagree,CACS,disagreement,32,4.956,5.732,-0.776,0.012,0.023,*
bdisagree,Bales,disagrees,32,3.086,3.868,-0.782,0.025,0.045,*
qset,ISO,set-question,32,3.683,4.525,-0.841,0.011,0.023,*
baskopin,Bales,asks opinion,32,3.006,3.886,-0.88,0.001,0.004,**
delim,CACS,delimiting,32,13.804,14.858,-1.054,0.004,0.011,*
directive,ISO,directive,32,9.399,10.466,-1.067,0.009,0.021,*
namep,act4teams,names problem,32,9.631,10.811,-1.18,0.041,0.068,
proact,act4teams,proactive,32,17.254,18.533,-1.279,0.003,0.009,**
bgivesug,Bales,gives suggestion,32,12.975,14.597,-1.621,0.005,0.013,*
linkc,act4teams,links to consequence,32,4.748,7.132,-2.384,0.0,0.0,***
linkp,act4teams,links problem,32,6.947,9.507,-2.56,0.0,0.0,***
names,act4teams,names solution,32,10.207,12.772,-2.565,0.0,0.0,***
iam4,IAM,testing,32,5.377,8.408,-3.031,0.0,0.0,***
links,act4teams,links solution,32,6.546,9.698,-3.152,0.0,0.0,***
ktrans,act4teams,knowledge transfer,32,12.752,15.941,-3.189,0.0,0.0,***
iam3,IAM,negotiation,32,13.144,16.889,-3.746,0.0,0.0,***
bgiveopin,Bales,gives opinion,32,24.604,28.799,-4.195,0.0,0.0,***
explor,Mercer,exploratory,32,16.944,21.368,-4.424,0.0,0.0,***
arguable,CACS,arguable,32,53.904,59.221,-5.317,0.0,0.0,***
