mid,team,dt,mean_entropy,mean_det,mean_rmse,reorg_rate,gini_words,top_share,turnlen_disp,part_entropy,net_central,eig_central,sem_rec,turn_len,coh,week,gap_days
2024.10.14startup_a,startup_a,2024-10-14,36.070877559876095,83.10555610478458,6.670950421112282,3.6490969406561007,0.3928681559202947,0.6805795920423908,0.32875800811754685,1.0476698108847011,0.6638655462184875,0.6670057235637191,22.644919055686753,25.34067877951228,0.1006625646283555,1,
2024.10.25startup_a,startup_a,2024-10-25,34.69568832516226,81.64151801232696,7.104044701789934,3.885362569724947,0.36753636628377695,0.6898793659998717,0.3175025252198686,1.0213051303601293,0.4956896551724137,0.6349536227513829,23.693406849919455,30.413732356287504,0.10431244956807455,2,11.0
2024.11.04startup_a,startup_a,2024-11-04,28.856233648758778,87.22161855027665,6.033832788644676,3.7884615384615383,0.34498983260131166,0.7145632665805168,0.3000246617754328,0.8711225657793623,0.6145251396648044,0.6695542038656926,23.253578779894568,30.634603213550584,0.11290100369220925,3,10.0
2024.11.11startup_a,startup_a,2024-11-11,35.34070129009611,82.51532152820782,7.00745206383076,3.576235339357816,0.33710133283418464,0.6748845676232638,0.28181120685505107,1.010652408967171,0.49,0.6452329727838176,20.45662455879174,28.176031607997555,0.10249368349696125,4,7.0
2024.11.18startup_a,startup_a,2024-11-18,26.916406361407567,88.41368646054187,5.32509147283559,3.40289528106787,0.33396372448530626,0.729726543115856,0.29035718451369535,0.8286374310311845,0.605095541401274,0.6715861601824514,25.7071312525858,33.93113300840574,0.11381189287463803,5,7.0
2024.12.09startup_a,startup_a,2024-12-09,34.78273607805484,81.29245795306758,7.16831959435995,3.225806451612903,0.34625380945211837,0.6664009451542946,0.29847696713487026,1.0424751508591537,0.5083333333333333,0.6598667511738,20.52710277101758,26.76347354752527,0.08948904575908817,6,21.0
2024.12.13startup_a,startup_a,2024-12-13,42.771329497611404,82.79302762709038,6.92555202609921,4.021760248688556,0.3355682788173184,0.6981557034417771,0.29290721931316643,0.9493922603889097,0.3908296943231442,0.6435184238333786,19.382699604921825,24.55517215294993,0.08330358956481057,7,4.0
2024.12.23startup_a,startup_a,2024-12-23,32.51051742275842,84.21185449593503,6.582152027735612,3.8621734191594093,0.362894177580651,0.7142234760039102,0.28814406404899406,0.9466085898026031,0.4075949367088607,0.619384936887328,20.871684812362776,28.22871060201569,0.09107860916255295,8,10.0
2025.01.06startup_a,startup_a,2025-01-06,48.84009551679102,78.18227505061762,7.430107234338185,3.2521770037320064,0.3150006776629575,0.6378296110093695,0.2755243290733162,1.088200611350486,0.3355048859934854,0.634518804357113,17.056868541388663,23.601064450542005,0.08007134561176373,9,14.0
2025.01.13startup_a,startup_a,2025-01-13,28.564292803555716,88.08328553930033,5.564287548469314,3.7133793618212354,0.3554894841420413,0.7404098872058483,0.3031020645678695,0.8502346821571117,0.6868131868131868,0.6792381506856985,22.210839842418793,29.907096947886423,0.0965434090432946,10,7.0
2025.02.24startup_a,startup_a,2025-02-24,33.08432242655857,82.89865924828592,7.3412991068008795,3.4482758620689653,0.33320757694773834,0.7076452533865062,0.2818735275016706,0.9403748414840711,0.5112359550561798,0.6452151245621398,23.296603396603395,27.58518881118881,0.09042102696985589,11,42.0
