mid,team,date,h1_baseline_entropy,h1_det_median,h1_event_rate,h2_event_rate,h1_event_rate_online,h2_event_rate_online,week,h1_event_rate_global,h2_event_rate_global
2024.10.14startup_a,startup_a,20241014,38.497813018654384,84.91508491508492,21.677419354838708,22.119815668202765,22.34101382488479,22.119815668202765,0,6.193548387096774,11.723502304147464
2024.10.25startup_a,startup_a,20241025,36.91152238622405,89.93808049535603,23.085802231627547,23.5475182762601,25.625240477106576,27.01038861100423,1,25.625240477106576,26.779530588687955
2024.11.04startup_a,startup_a,20241104,33.16716511559652,91.11052675766399,33.69878822850548,11.771494518176572,21.927293710328907,5.077899596076168,2,22.388920946335833,5.539526832083093
2024.11.11startup_a,startup_a,20241111,35.12164748400595,89.4927536231884,31.153846153846153,11.769230769230768,22.615384615384613,8.076923076923077,3,28.846153846153843,10.615384615384615
2024.11.18startup_a,startup_a,20241118,26.633228708326484,95.0620934358368,17.82625047010154,23.016171493042496,18.503196690485144,25.047010154193305,4,8.349003384731102,4.512974802557352
2024.12.09startup_a,startup_a,20241209,35.678525600833936,90.22988198013545,23.41024198086663,15.306696679797412,22.509848058525606,13.73100731570062,5,24.085537422622398,15.306696679797412
2024.12.13startup_a,startup_a,20241213,41.34033761854689,91.35853759867054,22.852701127089002,25.417800233190828,22.619510299261563,24.95141857753595,6,24.95141857753595,27.749708511465215
2024.12.23startup_a,startup_a,20241223,30.233191059673853,92.04297159504736,19.54175345578489,26.81310357886764,20.2234425298239,26.81310357886764,7,16.81499715962886,24.768036356750617
2025.01.06startup_a,startup_a,20250106,48.06418962389444,87.34824281150159,19.196587273373623,19.83647351581941,21.116246000710984,23.035904728048347,8,17.063633131887663,16.637042303590473
2025.01.13startup_a,startup_a,20250113,30.553383611580948,92.6668755875901,33.370660694288915,11.198208286674133,31.13101903695409,7.166853303471445,9,23.068309070548715,2.2396416573348263
2025.02.24startup_a,startup_a,20250224,40.863772783590925,84.98701298701299,25.068979109184077,16.31848640126133,20.81198265668112,11.824990145841547,10,25.30547891210091,17.027985810011824
2025.03.02startup_a,startup_a,20250302,32.741489283550884,91.46161524500909,16.846153846153847,15.923076923076922,15.23076923076923,14.538461538461538,11,8.769230769230768,9.692307692307692
2025.03.17startup_a,startup_a,20250317,38.02164825659811,87.61721912196933,20.95567069660334,15.659182498560737,17.731721358664366,13.816925734024181,12,13.356361542890042,10.592976396085206
2025.03.25startup_a,startup_a,20250325,30.67863280754912,93.79977246871444,28.718354430379748,19.462025316455698,26.34493670886076,17.088607594936708,13,16.139240506329113,6.882911392405063
2025.03.31startup_a,startup_a,20250331,34.81993807106023,85.47332185886403,17.281515091734068,14.677451173801538,13.493785756559479,12.31012033931742,14,11.363188005523773,10.179522588281712
2025.04.07startup_a,startup_a,20250407,38.41215060098163,91.17627860660266,27.17983651226158,15.735694822888284,22.47956403269755,10.21798365122616,15,19.414168937329702,8.991825613079019
2025.04.14startup_a,startup_a,20250414,33.318551116774394,93.83207321925984,22.12518195050946,10.286268801552644,15.138282387190685,5.628335759340127,16,16.690926734594857,7.375060650169821
2024.10.14startup_b,startup_b,20241014,49.37041710346988,73.58983937243183,29.87468671679198,9.022556390977444,19.649122807017545,5.213032581453634,0,43.909774436090224,18.045112781954888
2024.10.28startup_b,startup_b,20241028,38.54683857575555,80.97199341021417,31.555389779932863,14.099216710182768,20.81312942931742,9.399477806788513,1,31.555389779932863,14.099216710182768
2024.11.04startup_b,startup_b,20241104,43.36013168430695,82.78894472361809,26.58682634730539,11.976047904191617,21.55688622754491,7.425149700598802,2,24.910179640718564,10.778443113772456
2024.11.11startup_b,startup_b,20241111,44.2284052209642,81.98630326983178,24.659028914348063,5.891980360065466,16.80305510092744,3.055100927441353,3,37.53409710856519,21.822149481723947
2024.11.18startup_b,startup_b,20241118,44.38998014713561,80.4572503938976,25.004735745406325,15.457473006251183,17.957946580791816,11.820420534192081,4,28.869103996969123,17.957946580791816
2024.12.02startup_b,startup_b,20241202,51.354948152242955,58.05555555555556,19.45945945945946,15.43336439888164,18.788443616029824,15.20969245107176,5,47.194780987884435,51.22087604846225
2024.12.16startup_b,startup_b,20241216,39.44100124291438,83.89211552536554,9.649626651349799,29.178632969557725,19.758759333716256,46.639862148190694,6,17.001723147616314,43.65307294658243
2024.12.23startup_b,startup_b,20241223,35.47526219678831,86.65903890160183,20.03302146395157,20.913593835993396,19.812878370941114,20.913593835993396,7,24.435883324160706,27.077600440286187
2025.01.06startup_b,startup_b,20250106,49.18009879502448,86.58456153276316,20.321410057024366,24.883359253499222,17.833074131674444,21.358216692586833,8,22.187662001036806,25.5054432348367
2025.01.13startup_b,startup_b,20250113,36.39795061804085,87.1053227684802,29.597855227882036,16.72922252010724,25.093833780160857,13.941018766756033,9,29.597855227882036,16.514745308310992
2025.02.10startup_b,startup_b,20250210,54.16443375680632,82.22384784198975,24.850746268656717,15.671641791044777,22.611940298507463,9.626865671641792,10,26.865671641791046,18.134328358208958
2025.02.24startup_b,startup_b,20250224,37.20991957364093,87.92053150448973,23.190692171169395,4.969434036679156,15.854860974166831,0.7099191480970223,11,22.717412739104713,4.496154604614475
2025.03.17startup_b,startup_b,20250317,30.280365079488075,89.8361876396128,8.007626310772164,29.933269780743565,18.303145853193517,78.55100095328885,12,9.914204003813154,43.6606291706387
2025.03.24startup_b,startup_b,20250324,43.50153827174708,69.2697510371758,21.16564417177914,19.78527607361963,18.404907975460123,17.02453987730061,13,26.91717791411043,23.466257668711656
2025.03.31startup_b,startup_b,20250331,34.44775076599738,90.1360544217687,27.76891158633897,19.53399297797638,19.15097350781998,14.363230130864984,14,10.341525694222788,9.57548675390999
2025.04.07startup_b,startup_b,20250407,43.16284620850357,78.64957799312285,11.583372255955162,22.23260158804297,14.198972442783747,25.221858944418496,15,25.408687529191965,39.607659971975714
2025.04.14startup_b,startup_b,20250414,31.92956943813159,94.34940383618456,20.97087378640777,21.902912621359224,20.97087378640777,21.436893203883496,16,20.97087378640777,21.66990291262136
