predictor,n,coef,se,p,q,sig,outcome
baseline_entropy,32,-0.23524612769066922,0.1440760005385676,0.10251276972755734,0.41005107891022935,,rating_mean
entropy_sd,32,-0.0800059574025771,0.16245149256668623,0.6223720244271213,0.84228915891309,,rating_mean
det_median,32,0.26902333696625835,,,,,rating_mean
pct_time_reorganizing,32,-0.020511485719890952,0.16257126061575894,0.8995979921924094,0.8995979921924094,,rating_mean
reorg_event_rate,32,-0.027183781831535653,0.16002985414795898,0.8651147803004556,0.8995979921924094,,rating_mean
mean_event_depth,32,0.17972948879201717,0.16494858742456836,0.27588535435809347,0.6321918395693293,,rating_mean
mean_event_peak_z,32,-0.14718110825227373,0.16375952734304935,0.3687785730821088,0.6321918395693293,,rating_mean
boundary_alignment_pct,32,0.15742619626906643,0.1585467607779029,0.3207429587227081,0.6321918395693293,,rating_mean
ids_entropy,32,-0.20107263091380953,0.1599202558587563,0.20863394868313523,0.6259018460494057,,rating_mean
ids_det,32,0.24462803526449062,0.13524195171678177,0.07047933044181873,0.41005107891022935,,rating_mean
ids_reorg_rate,32,0.0441769351286234,0.15954924323288097,0.7818677229190512,0.8995979921924094,,rating_mean
review_entropy,30,-0.21059343565463665,0.09512626149479679,0.02684042910165535,0.3220851492198642,,rating_mean
review_det,30,0.2486908366632855,,,,,rating_mean
review_reorg_rate,30,-0.08177227312608247,0.17060352532966674,0.6317168691848175,0.84228915891309,,rating_mean
baseline_entropy,29,3.3528939144820673,3.5014965480251266,0.33828455070653407,0.49772019296768844,,todo_completion_rate
entropy_sd,29,7.289448296598306,4.102949548224732,0.07562813153722366,0.37814065768611826,,todo_completion_rate
det_median,29,-1.6491868090536004,,,,,todo_completion_rate
pct_time_reorganizing,29,-3.213235875194,3.4267598882894763,0.3484041350773819,0.49772019296768844,,todo_completion_rate
reorg_event_rate,29,2.015085871992847,6.178596143153751,0.7443186149823229,0.9303982687279035,,todo_completion_rate
mean_event_depth,29,5.486069846703776,4.601246441968621,0.23314331815606149,0.49772019296768844,,todo_completion_rate
mean_event_peak_z,29,-2.5476697336311003,,,,,todo_completion_rate
boundary_alignment_pct,29,2.4066637203439383,1.1083151705438228,0.029896304547134062,0.2989630454713406,,todo_completion_rate
ids_entropy,29,2.8657115750972175,,,,,todo_completion_rate
ids_det,29,-1.8570907597185535,,,,,todo_completion_rate
ids_reorg_rate,29,-0.7215008201560124,8.890411637688095,0.9353187341880416,0.9353187341880416,,todo_completion_rate
review_entropy,29,5.221646585549629,4.267600711584599,0.22111993211104597,0.49772019296768844,,todo_completion_rate
review_det,29,-4.559452972409234,4.2098070523627635,0.27878396954034856,0.49772019296768844,,todo_completion_rate
review_reorg_rate,29,-0.7244905493921583,4.870279427416143,0.8817449943913641,0.9353187341880416,,todo_completion_rate
baseline_entropy,34,-0.8614415044301542,5.261091350431249,0.8699372625679285,0.9111286570414958,,issue_resolution_rate_same_meeting
entropy_sd,34,2.332074253406041,4.855394572960339,0.6310099537718329,0.9111286570414958,,issue_resolution_rate_same_meeting
det_median,34,1.5733960905355087,5.682939479433792,0.7818852477146648,0.9111286570414958,,issue_resolution_rate_same_meeting
pct_time_reorganizing,34,1.1763930358773214,5.021724724828343,0.8147825496308905,0.9111286570414958,,issue_resolution_rate_same_meeting
reorg_event_rate,34,2.518481949897504,4.922179874288382,0.6088890714160721,0.9111286570414958,,issue_resolution_rate_same_meeting
mean_event_depth,34,2.051832864894931,4.881668702666249,0.6742562086852388,0.9111286570414958,,issue_resolution_rate_same_meeting
mean_event_peak_z,34,1.8637215293947096,4.967050125325087,0.7074991056998686,0.9111286570414958,,issue_resolution_rate_same_meeting
boundary_alignment_pct,34,-2.7148161626179164,5.253362384479921,0.6053119291572653,0.9111286570414958,,issue_resolution_rate_same_meeting
ids_entropy,34,2.0209225936584487,4.988957456865413,0.6854193396333137,0.9111286570414958,,issue_resolution_rate_same_meeting
ids_det,34,-1.0883958345142983,5.327159533961721,0.8381106882385544,0.9111286570414958,,issue_resolution_rate_same_meeting
ids_reorg_rate,34,6.218797401547522,5.015184859123414,0.2149777411908017,0.9111286570414958,,issue_resolution_rate_same_meeting
review_entropy,32,0.675851798937089,6.055204393729445,0.9111286570414958,0.9111286570414958,,issue_resolution_rate_same_meeting
review_det,32,0.8300367769288078,6.637725063990602,0.9004852479139426,0.9111286570414958,,issue_resolution_rate_same_meeting
review_reorg_rate,32,-3.376180604005831,4.990915462339437,0.49874533638704543,0.9111286570414958,,issue_resolution_rate_same_meeting
