mid,team,date,rating_found,rating_n,rating_mean,rating_min,rating_max,n_todos_assigned,n_issues_raised,n_issues_resolved_same_meeting,issue_resolution_rate_same_meeting,week,n_todos_tracked,n_todos_done,n_todos_partial,n_todos_not_done,n_todos_unmentioned,todo_completion_rate
2024.10.14startup_a,startup_a,20241014,True,3,6.666666666666667,6.0,8.0,5,4,4,100.0,0,5.0,1.0,1.0,2.0,1.0,37.5
2024.10.25startup_a,startup_a,20241025,True,3,9.333333333333334,9.0,10.0,4,6,4,66.66666666666667,1,4.0,0.0,1.0,1.0,2.0,25.0
2024.11.04startup_a,startup_a,20241104,True,3,9.333333333333334,9.0,10.0,4,9,7,77.77777777777777,2,4.0,0.0,4.0,0.0,0.0,50.0
2024.11.11startup_a,startup_a,20241111,True,2,10.0,10.0,10.0,3,3,1,33.333333333333336,3,3.0,1.0,0.0,1.0,1.0,50.0
2024.11.18startup_a,startup_a,20241118,True,2,10.0,10.0,10.0,2,2,2,100.0,4,2.0,1.0,0.0,0.0,1.0,100.0
2024.12.09startup_a,startup_a,20241209,True,2,8.5,8.0,9.0,6,4,2,50.0,5,6.0,1.0,2.0,1.0,2.0,50.0
2024.12.13startup_a,startup_a,20241213,True,2,9.0,9.0,9.0,2,3,2,66.66666666666667,6,2.0,1.0,0.0,0.0,1.0,100.0
2024.12.23startup_a,startup_a,20241223,True,2,9.0,9.0,9.0,2,4,3,75.0,7,2.0,1.0,1.0,0.0,0.0,75.0
2025.01.06startup_a,startup_a,20250106,True,2,9.5,9.0,10.0,3,7,6,85.71428571428571,8,3.0,1.0,1.0,0.0,1.0,75.0
2025.01.13startup_a,startup_a,20250113,True,1,10.0,10.0,10.0,4,2,1,50.0,9,4.0,0.0,3.0,0.0,1.0,50.0
2025.02.24startup_a,startup_a,20250224,True,1,8.0,8.0,8.0,6,1,1,100.0,10,6.0,0.0,3.0,0.0,3.0,50.0
2025.03.02startup_a,startup_a,20250302,True,1,9.0,9.0,9.0,5,3,2,66.66666666666667,11,5.0,1.0,2.0,0.0,2.0,66.66666666666667
2025.03.17startup_a,startup_a,20250317,True,2,9.5,9.0,10.0,5,2,1,50.0,12,5.0,0.0,4.0,0.0,1.0,50.0
2025.03.25startup_a,startup_a,20250325,True,2,8.5,8.0,9.0,4,2,2,100.0,13,4.0,2.0,1.0,1.0,0.0,62.5
2025.03.31startup_a,startup_a,20250331,True,3,9.666666666666666,9.0,10.0,3,4,4,100.0,14,3.0,0.0,0.0,0.0,3.0,
2025.04.07startup_a,startup_a,20250407,True,2,10.0,10.0,10.0,2,2,2,100.0,15,2.0,0.0,0.0,0.0,2.0,
2025.04.14startup_a,startup_a,20250414,True,1,10.0,10.0,10.0,4,4,4,100.0,16,,,,,,
2024.10.14startup_b,startup_b,20241014,True,2,6.5,6.0,7.0,2,1,1,100.0,0,2.0,1.0,0.0,0.0,1.0,100.0
2024.10.28startup_b,startup_b,20241028,True,3,10.0,10.0,10.0,6,2,0,0.0,1,6.0,4.0,2.0,0.0,0.0,83.33333333333333
2024.11.04startup_b,startup_b,20241104,True,3,10.0,10.0,10.0,12,2,1,50.0,2,12.0,6.0,4.0,1.0,1.0,72.72727272727273
2024.11.11startup_b,startup_b,20241111,True,2,10.0,10.0,10.0,10,6,2,33.333333333333336,3,10.0,5.0,4.0,1.0,0.0,70.0
2024.11.18startup_b,startup_b,20241118,True,3,10.0,10.0,10.0,3,3,0,0.0,4,3.0,2.0,0.0,0.0,1.0,100.0
2024.12.02startup_b,startup_b,20241202,True,1,8.0,8.0,8.0,7,2,0,0.0,5,7.0,3.0,1.0,2.0,1.0,58.333333333333336
2024.12.16startup_b,startup_b,20241216,True,1,10.0,10.0,10.0,6,4,2,50.0,6,6.0,5.0,0.0,0.0,1.0,100.0
2024.12.23startup_b,startup_b,20241223,True,2,8.0,8.0,8.0,1,2,0,0.0,7,1.0,0.0,0.0,1.0,0.0,0.0
2025.01.06startup_b,startup_b,20250106,True,1,9.0,9.0,9.0,8,5,2,40.0,8,8.0,5.0,1.0,1.0,1.0,78.57142857142857
2025.01.13startup_b,startup_b,20250113,True,1,9.0,9.0,9.0,7,7,5,71.42857142857143,9,8.0,0.0,0.0,0.0,8.0,
2025.02.10startup_b,startup_b,20250210,True,2,8.5,8.0,9.0,6,4,1,25.0,10,6.0,1.0,0.0,2.0,3.0,33.333333333333336
2025.02.24startup_b,startup_b,20250224,False,0,,,,10,7,4,57.142857142857146,11,10.0,5.0,0.0,2.0,3.0,71.42857142857143
2025.03.17startup_b,startup_b,20250317,True,2,9.5,9.0,10.0,6,3,1,33.333333333333336,12,6.0,4.0,1.0,1.0,0.0,75.0
2025.03.24startup_b,startup_b,20250324,True,2,10.0,10.0,10.0,5,3,3,100.0,13,5.0,0.0,1.0,0.0,4.0,50.0
2025.03.31startup_b,startup_b,20250331,True,1,10.0,10.0,10.0,3,3,1,33.333333333333336,14,3.0,1.0,1.0,0.0,1.0,75.0
2025.04.07startup_b,startup_b,20250407,False,0,,,,5,3,2,66.66666666666667,15,5.0,2.0,0.0,0.0,3.0,100.0
2025.04.14startup_b,startup_b,20250414,True,2,10.0,10.0,10.0,4,2,2,100.0,16,,,,,,
