mid,metric,n,peaks,valleys,pct_peak
2024.10.14startup_a,entropy_g,5426,0,171,0.0
2024.10.14startup_a,det_g,5426,0,145,0.0
2024.10.14startup_a,rmse_g,5426,198,0,3.6490969406561002
2024.10.14startup_b,entropy_g,5986,0,0,0.0
2024.10.14startup_b,det_g,5986,0,84,0.0
2024.10.14startup_b,rmse_g,5986,194,0,3.240895422652857
2024.10.25startup_a,entropy_g,5199,0,0,0.0
2024.10.25startup_a,det_g,5199,0,253,0.0
2024.10.25startup_a,rmse_g,5199,202,0,3.885362569724947
2024.10.28startup_b,entropy_g,5363,5,0,0.09323140033563304
2024.10.28startup_b,det_g,5363,0,144,0.0
2024.10.28startup_b,rmse_g,5363,204,0,3.8038411336938283
2024.11.04startup_a,entropy_g,5200,28,0,0.5384615384615384
2024.11.04startup_a,det_g,5200,0,200,0.0
2024.11.04startup_a,rmse_g,5200,197,0,3.7884615384615383
2024.11.04startup_b,entropy_g,5011,0,173,0.0
2024.11.04startup_b,det_g,5011,0,142,0.0
2024.11.04startup_b,rmse_g,5011,161,0,3.212931550588705
2024.11.11startup_a,entropy_g,5201,25,182,0.4806767929244376
2024.11.11startup_a,det_g,5201,0,148,0.0
2024.11.11startup_a,rmse_g,5201,186,0,3.5762353393578157
2024.11.11startup_b,entropy_g,5500,0,0,0.0
2024.11.11startup_b,det_g,5500,0,145,0.0
2024.11.11startup_b,rmse_g,5500,140,0,2.5454545454545454
2024.11.18startup_a,entropy_g,5319,0,0,0.0
2024.11.18startup_a,det_g,5319,0,178,0.0
2024.11.18startup_a,rmse_g,5319,181,0,3.40289528106787
2024.11.18startup_b,entropy_g,5280,0,0,0.0
2024.11.18startup_b,det_g,5280,0,152,0.0
2024.11.18startup_b,rmse_g,5280,178,0,3.371212121212121
2024.12.02startup_b,entropy_g,5366,0,159,0.0
2024.12.02startup_b,det_g,5366,0,3,0.0
2024.12.02startup_b,rmse_g,5366,156,0,2.9071934401789044
2024.12.09startup_a,entropy_g,5332,0,0,0.0
2024.12.09startup_a,det_g,5332,0,196,0.0
2024.12.09startup_a,rmse_g,5332,172,0,3.225806451612903
2024.12.13startup_a,entropy_g,5147,0,0,0.0
2024.12.13startup_a,det_g,5147,0,201,0.0
2024.12.13startup_a,rmse_g,5147,207,0,4.021760248688556
2024.12.16startup_b,entropy_g,5224,0,119,0.0
2024.12.16startup_b,det_g,5224,0,184,0.0
2024.12.16startup_b,rmse_g,5224,169,0,3.2350689127105667
2024.12.23startup_a,entropy_g,5282,0,0,0.0
2024.12.23startup_a,det_g,5282,0,227,0.0
2024.12.23startup_a,rmse_g,5282,204,0,3.8621734191594093
2024.12.23startup_b,entropy_g,5452,0,0,0.0
2024.12.23startup_b,det_g,5452,0,170,0.0
2024.12.23startup_b,rmse_g,5452,186,0,3.4115920763022745
2025.01.06startup_a,entropy_g,5627,0,0,0.0
2025.01.06startup_a,det_g,5627,0,137,0.0
2025.01.06startup_a,rmse_g,5627,183,0,3.2521770037320064
2025.01.06startup_b,entropy_g,5788,0,0,0.0
2025.01.06startup_b,det_g,5788,0,215,0.0
2025.01.06startup_b,rmse_g,5788,218,0,3.7664132688320664
2025.01.13startup_a,entropy_g,5359,2,0,0.037320395596193316
2025.01.13startup_a,det_g,5359,0,230,0.0
2025.01.13startup_a,rmse_g,5359,199,0,3.7133793618212354
2025.01.13startup_b,entropy_g,5596,25,0,0.44674767691208006
2025.01.13startup_b,det_g,5596,0,313,0.0
2025.01.13startup_b,rmse_g,5596,216,0,3.8598999285203717
2025.02.10startup_b,entropy_g,5361,0,148,0.0
2025.02.10startup_b,det_g,5361,0,168,0.0
2025.02.10startup_b,rmse_g,5361,181,0,3.3762357769072935
2025.02.24startup_a,entropy_g,5075,22,0,0.43349753694581283
2025.02.24startup_a,det_g,5075,0,194,0.0
2025.02.24startup_a,rmse_g,5075,175,0,3.4482758620689653
2025.02.24startup_b,entropy_g,5072,0,0,0.0
2025.02.24startup_b,det_g,5072,0,198,0.0
2025.02.24startup_b,rmse_g,5072,119,0,2.3462145110410093
2025.03.02startup_a,entropy_g,5201,2,0,0.03845414343395501
2025.03.02startup_a,det_g,5201,0,195,0.0
2025.03.02startup_a,rmse_g,5201,142,0,2.7302441838108056
2025.03.17startup_a,entropy_g,5212,0,0,0.0
2025.03.17startup_a,det_g,5212,0,198,0.0
2025.03.17startup_a,rmse_g,5212,162,0,3.108211818879509
2025.03.17startup_b,entropy_g,6295,0,0,0.0
2025.03.17startup_b,det_g,6295,0,89,0.0
2025.03.17startup_b,rmse_g,6295,197,0,3.129467831612391
