cat,n,mean_lift,pos,p,q_fdr,metric,side
nonarg,34,0.8011165670521719,33,3.4924596548080444e-10,1.1641532182693481e-08,rmse_g,peak
feedback,34,0.38597942705644694,32,1.6298145055770874e-09,1.6298145055770874e-08,rmse_g,peak
baskinfo,34,0.3453702131994658,33,1.1641532182693481e-09,1.5522042910257976e-08,rmse_g,peak
qprop,34,0.32086478363791154,32,5.005858838558197e-09,2.8604907648903984e-08,rmse_g,peak
bagree,34,0.2656715466540283,31,8.870847523212433e-08,3.225762735713612e-07,rmse_g,peak
struct,34,0.21502895648156353,25,0.00043048278894275427,0.0009062795556689563,rmse_g,peak
converge,34,0.17215533655877738,28,1.5025725588202477e-06,4.623300180985378e-06,rmse_g,peak
coop,34,0.16523968577143416,28,1.2546312063932419e-05,3.345683217048645e-05,rmse_g,peak
ginfo,34,0.15289801606588374,25,0.005473606521263719,0.009519315689154293,rmse_g,peak
bsolid,34,0.1418005962292261,26,0.0003686567069962621,0.0008192371266583601,rmse_g,peak
directive,34,0.1281159245990094,23,0.002045835484750569,0.0038968294947629885,rmse_g,peak
iam5,34,0.11214746117323438,27,0.0013714433880522847,0.0027428867761045694,rmse_g,peak
commissive,34,0.07930076709172734,25,0.0026452430756762624,0.0048095328648659315,rmse_g,peak
qset,34,0.07491788948711363,21,0.016922200680710375,0.02506992693438574,rmse_g,peak
btensh,34,0.05284547305733664,22,0.031331676873378456,0.04475953839054065,rmse_g,peak
baskopin,34,0.05059031716416736,21,0.05704390583559871,0.07605854111413161,rmse_g,peak
bdisagree,34,0.04860409467346777,22,0.05704390583559871,0.07605854111413161,rmse_g,peak
btension,34,0.04707694967643622,17,0.15775297058280557,0.18559173009741833,rmse_g,peak
cumul,34,0.04384678526254473,19,0.11261861654929817,0.1407732706866227,rmse_g,peak
disagree,34,0.03144919779098336,19,0.27023737831041217,0.29214851709233747,rmse_g,peak
basksug,34,0.029645202291408435,18,0.09763269789982587,0.12597767470945273,rmse_g,peak
disput,29,0.02936455705550863,13,0.19762490689754486,0.225857036454337,rmse_g,peak
cprod,33,0.014980408223508183,15,0.4908933094702661,0.5167297994423854,rmse_g,peak
proact,34,0.008593219383339484,19,0.7484260409837589,0.7484260409837589,rmse_g,peak
iam2,34,0.0040533340448884675,19,0.710331300389953,0.7285449234768748,rmse_g,peak
bgivesug,34,-0.059745770931023935,16,0.24850467371288687,0.27611630412542987,rmse_g,peak
bgiveinfo,34,-0.07463525600941384,15,0.15271678159479052,0.1851112504179279,rmse_g,peak
links,34,-0.07644554468396955,11,0.008130305097438395,0.013550508495730659,rmse_g,peak
names,34,-0.08994087985691764,10,0.010655494872480631,0.016393069034585588,rmse_g,peak
linkc,34,-0.11864405521832681,6,3.163795918226242e-05,7.909489795565605e-05,rmse_g,peak
namep,34,-0.13766311808094867,9,6.773427594453096e-05,0.00015937476692830816,rmse_g,peak
iam1,34,-0.14023250861869507,9,0.009070051251910627,0.014512082003057003,rmse_g,peak
linkp,34,-0.15150058788052698,6,3.604334779083729e-06,1.0298099368810654e-05,rmse_g,peak
iam4,34,-0.166031396511369,4,1.594889909029007e-08,7.088399595684476e-08,rmse_g,peak
iam3,34,-0.23362845872936977,3,1.594889909029007e-08,7.088399595684476e-08,rmse_g,peak
delim,34,-0.25359645535650843,1,3.841705620288849e-09,2.561137080192566e-08,rmse_g,peak
ktrans,34,-0.25423838926817405,6,1.0523945093154907e-07,3.5079816977183026e-07,rmse_g,peak
explor,34,-0.3058998253140594,2,5.820766091346741e-10,1.1641532182693481e-08,rmse_g,peak
bgiveopin,34,-0.3399398655136681,1,2.9103830456733704e-09,2.3283064365386963e-08,rmse_g,peak
arguable,34,-0.34240164164184766,4,5.203764885663986e-08,2.0815059542655945e-07,rmse_g,peak
nonarg,33,0.9768433168579492,32,4.423782229423523e-09,4.423782229423523e-08,det_g,valley
feedback,33,0.5005974300296305,30,1.6298145055770874e-08,1.0865430037180583e-07,det_g,valley
baskinfo,33,0.42823772129089466,32,1.0011717677116394e-08,8.009374141693115e-08,det_g,valley
qprop,33,0.40618720480905657,28,2.1047890186309814e-07,7.653778249567206e-07,det_g,valley
bagree,33,0.3722352209421385,31,1.1641532182693481e-09,3.259629011154175e-08,det_g,valley
struct,33,0.3233182622470046,26,0.0002060714177787304,0.0004338345637446956,det_g,valley
converge,33,0.2640246977660697,29,1.0407529771327972e-07,5.203764885663986e-07,det_g,valley
iam5,33,0.2115573108811863,27,4.1707418859004974e-05,0.00010426854714751244,det_g,valley
directive,33,0.20280465989818927,26,3.3979304134845734e-05,9.061147769292195e-05,det_g,valley
coop,33,0.1977995693073928,27,5.099480040371418e-05,0.00011998776565579807,det_g,valley
bsolid,33,0.1623186371500161,25,0.0003429877106100321,0.0006236140192909675,det_g,valley
baskopin,33,0.11934062504289236,23,0.00031562685035169125,0.0006011940006698881,det_g,valley
btension,33,0.11185129044512046,18,0.11258278018794954,0.14072847523493692,det_g,valley
qset,33,0.11084570056514614,21,0.03219500370323658,0.04769630178257271,det_g,valley
bdisagree,33,0.09113023348122791,19,0.042404816253110766,0.06057830893301538,det_g,valley
commissive,33,0.08606599112523644,21,0.0652196470182389,0.08995813381826055,det_g,valley
ginfo,33,0.07928395244354139,15,0.7110985529143363,0.7485247925414067,det_g,valley
cumul,33,0.0788402134382873,21,0.008375372965971845,0.013400596745554952,det_g,valley
btensh,33,0.07738139816058591,20,0.07984861312434077,0.10303046854753647,det_g,valley
disagree,33,0.0767562618284777,17,0.27976055652834475,0.329130066503935,det_g,valley
