mid,team,date,event_id,onset_s,window_s,label,l10_stage,entropy_slope,det_slope,switch_rate,turnlen_trend,question_density,gap_trend
2024.10.14startup_a,startup_a,20241014,0,210.0,30,1,segue,-0.01447802736188451,0.4137197961149698,12.0,3.0714285714285707,0.0,0.24285714285714277
2024.10.14startup_a,startup_a,20241014,0,1638.0,30,0,ids,-0.03298907137051078,-0.01770669351828938,6.0,,0.25,
2024.10.14startup_a,startup_a,20241014,0,5360.0,30,0,conclude,1.2150102087522077,-0.08407323037312549,2.0,,1.0,
2024.10.14startup_a,startup_a,20241014,0,4792.0,30,0,ids,0.7561424554267158,-0.029892018398159702,,,,
2024.10.14startup_a,startup_a,20241014,1,271.0,30,1,scorecard,0.27271479574054786,0.10559212787540175,,,,
2024.10.14startup_a,startup_a,20241014,1,785.0,30,0,scorecard,-0.00824611378636342,-0.40235491635798676,8.0,0.4000000000000005,0.4,
2024.10.14startup_a,startup_a,20241014,1,753.0,30,0,scorecard,0.37873451766850236,-0.6967765378994035,,,,
2024.10.14startup_a,startup_a,20241014,1,714.0,30,0,scorecard,-0.04903310788011016,0.07285073450121721,,,,
2024.10.14startup_a,startup_a,20241014,2,318.0,30,1,scorecard,-0.10193399617590279,0.4539324526262647,4.0,,0.6666666666666666,
2024.10.14startup_a,startup_a,20241014,2,713.0,30,0,scorecard,-0.17984459774299036,0.08500003573954977,,,,
2024.10.14startup_a,startup_a,20241014,2,715.0,30,0,scorecard,0.0820210658753633,0.06313189208667898,,,,
2024.10.14startup_a,startup_a,20241014,2,742.0,30,0,scorecard,0.873124079421113,-0.8772701809634091,2.0,,1.0,
2024.10.14startup_a,startup_a,20241014,3,359.0,30,1,scorecard,-0.24855435087917918,0.8911992458418155,6.0,,0.25,
2024.10.14startup_a,startup_a,20241014,3,787.0,30,0,scorecard,-0.05677493002106525,-0.5877507186812723,8.0,0.4000000000000005,0.4,
2024.10.14startup_a,startup_a,20241014,3,744.0,30,0,scorecard,0.8018927359831942,-0.9396197776381667,2.0,,1.0,
2024.10.14startup_a,startup_a,20241014,3,699.0,30,0,scorecard,-0.8846501491901437,0.3336934216973401,,,,
2024.10.14startup_a,startup_a,20241014,4,441.0,30,1,scorecard,0.42011203987138207,-0.16601556387377814,,,,
2024.10.14startup_a,startup_a,20241014,4,723.0,30,0,scorecard,1.0340125313712754,-0.24302941016196072,,,,
2024.10.14startup_a,startup_a,20241014,4,706.0,30,0,scorecard,-0.9095496790004426,0.21441663057906765,,,,
2024.10.14startup_a,startup_a,20241014,4,786.0,30,0,scorecard,-0.030452172975798324,-0.48720320236732884,8.0,0.4000000000000005,0.4,
