mid,date,team,BORDER_n,BORDER_rate,BORDER_peak_z,BORDER_ent_exc,BORDER_det_exc,BORDER_ent_abs,INTERIOR_n,INTERIOR_rate,INTERIOR_peak_z,INTERIOR_ent_exc,INTERIOR_det_exc,INTERIOR_ent_abs,base_ent,base_det,week
2024.10.14startup_a,20241014,startup_a,10,11.217049915872124,3.5959141954400295,11.736649667152026,-9.690224660916254,47.47402282488396,19,21.312394840157037,2.9627542407929317,4.532110235624865,-1.9258187856120814,40.2694833933568,35.73737315773193,83.52984530550049,0
2024.10.25startup_a,20241025,startup_a,7,8.160093258208665,3.462019520299969,16.10416287307472,-22.424605633545035,50.01315987863979,14,16.32018651641733,3.1995108816583238,14.433625343610325,-19.02487805406725,48.342622349175386,33.90899700556507,83.07207570364888,1
2024.11.04startup_a,20241104,startup_a,14,16.310679611650485,3.731094992066175,19.628602990975775,-18.099780455202968,47.938105553062044,12,13.980582524271846,3.4817690381095505,6.088312016894425,-13.190708319474831,34.39781457898069,28.309502562086266,88.36532235167691,2
2024.11.11startup_a,20241111,startup_a,9,10.467144795503005,3.3840983084920286,13.32703238430831,-15.231216379477543,48.20441384690863,15,17.445241325838342,3.1385119733661595,9.99895061821336,-12.07936173459817,44.876332080813675,34.87738146260032,83.49525739346538,3
2024.11.18startup_a,20241118,startup_a,8,9.12894636744009,3.4112805689642447,16.378972514495445,-16.244464889817685,42.773748842703064,13,14.834537847090147,3.2762157591243617,13.89259935227618,-11.320209152977567,40.287375680483805,26.39477632820762,89.19546095476329,4
2024.12.09startup_a,20241209,startup_a,14,15.897047691143074,3.1438473246208267,15.22955820373949,-15.100675525362492,49.444934004493014,11,12.490537471612415,3.1516116613940897,13.847915715500811,-9.122935352365914,48.063291516254324,34.21537580075352,82.1028096788994,5
2024.12.13startup_a,20241213,startup_a,9,10.63410791650256,3.8913559430149007,19.74540466443075,-21.47339792186668,61.424832553514115,7,8.270972823946435,3.01468272388461,16.12182807016068,-16.241054651064335,57.80125595924405,41.67942788908337,84.084831345488,6
2024.12.23startup_a,20241223,startup_a,11,12.609858616736721,3.4968699943289554,20.201126365110028,-24.11923314460869,51.76343028360373,13,14.902560183416124,3.6280557083293457,8.781636831128207,-17.55868843191947,40.343940749621915,31.562303918493708,85.79175934752266,7
2025.01.06startup_a,20250106,startup_a,13,13.993541442411194,3.3603336519578266,21.634505725493923,-15.419732670084922,69.71983639997092,14,15.069967707212054,2.9208327358355706,12.696402334580728,-13.87114875030824,60.781733009057724,48.08533067447699,78.85735994340398,8
2025.01.13startup_a,20250113,startup_a,12,13.587469333836573,3.3712395232065915,13.835987100592055,-11.885660721986426,41.65727211258032,17,19.248914889601814,3.0826867627870898,12.795953776107218,-14.17724580522484,40.617238788095484,27.821285011988266,88.90242162877117,9
