feature,label,n,d,p,q,sig
loc_switch,speaker switches (+/-15s),34,1.063,0.0,0.0,***
n_turns,turns / 90s,34,1.036,0.0,0.0,***
loc_nspk,distinct speakers (+/-15s),34,0.833,0.0,0.0,***
transition_entropy,speaker-transition entropy,34,0.571,0.0,0.0,***
n_active,active speakers / 90s,34,0.548,0.0,0.0,***
question,questions (content),34,0.363,0.0,0.0,***
latency,turn latency,34,0.346,0.0,0.0,***
nov,lexical novelty,34,0.311,0.0,0.0,***
humor,humor / tension-release,34,0.203,0.179,0.192,
directive,directives (content),34,-0.1,0.078,0.09,
disagree,disagreement (content),34,-0.144,0.037,0.047,*
net_central,network centralization,34,-0.155,0.215,0.215,
explor,exploratory talk (content),34,-0.372,0.0,0.0,***
sem_rec,semantic recurrence,34,-0.431,0.0,0.0,***
top_share,top-speaker share (floor concentration),34,-0.467,0.0,0.0,***
