handoff,opening,question,new_voice,convergence,roundrobin,n_spk_peri,mid,c,primary
0,0,0,0,0,0,1,2024.10.14startup_a,273.8,other/diffuse
0,0,1,1,0,1,3,2024.10.14startup_a,322.0,new_voice
1,0,1,0,0,0,2,2024.10.14startup_a,361.0,handoff
1,1,1,0,0,0,3,2024.10.14startup_a,553.0,handoff
0,0,1,0,0,0,1,2024.10.14startup_a,611.0,question
1,1,1,0,0,0,0,2024.10.14startup_a,930.5,handoff
1,0,1,1,0,1,3,2024.10.14startup_a,969.0,handoff
0,0,1,0,0,0,1,2024.10.14startup_a,1744.0,question
1,0,1,0,0,0,2,2024.10.14startup_a,1904.4285714285713,handoff
1,0,1,0,0,0,1,2024.10.14startup_a,2052.5,handoff
0,1,0,1,0,0,1,2024.10.14startup_a,2126.5,new_voice
0,1,1,0,0,0,2,2024.10.14startup_a,2441.0,question
1,0,0,0,0,0,2,2024.10.14startup_a,2487.0,handoff
0,0,0,0,0,0,0,2024.10.14startup_a,2777.0,other/diffuse
1,0,1,1,0,0,2,2024.10.14startup_a,2840.1428571428573,handoff
1,1,1,0,0,0,2,2024.10.14startup_a,2936.0,handoff
1,1,1,1,0,0,2,2024.10.14startup_a,3657.5,handoff
0,0,1,0,0,1,3,2024.10.14startup_a,3714.0,question
1,0,0,1,0,1,3,2024.10.14startup_a,3820.0,handoff
0,0,1,0,0,0,1,2024.10.14startup_a,4002.0,question
1,0,1,0,0,1,3,2024.10.14startup_a,5151.0,handoff
1,0,1,1,0,1,3,2024.10.14startup_b,147.11111111111111,handoff
1,0,0,0,0,0,3,2024.10.14startup_b,345.5,handoff
1,0,0,1,1,1,4,2024.10.14startup_b,528.5,handoff
0,0,1,0,0,0,2,2024.10.14startup_b,645.0,question
0,1,0,0,0,1,3,2024.10.14startup_b,925.0,opening
1,0,1,0,0,1,3,2024.10.14startup_b,1077.0,handoff
1,1,1,1,0,1,4,2024.10.14startup_b,1616.0,handoff
1,0,1,0,0,1,3,2024.10.14startup_b,2092.0,handoff
1,0,1,0,0,1,3,2024.10.14startup_b,3522.5,handoff
1,0,1,0,0,1,4,2024.10.14startup_b,4658.5,handoff
1,0,1,0,0,1,4,2024.10.14startup_b,4906.0,handoff
0,0,1,0,0,1,3,2024.10.25startup_a,1478.0,question
1,0,1,0,0,1,3,2024.10.25startup_a,1592.0,handoff
1,0,1,1,0,1,4,2024.10.25startup_a,2440.846153846154,handoff
1,0,1,0,0,1,3,2024.10.25startup_a,2485.5,handoff
0,0,1,0,0,0,1,2024.10.25startup_a,2929.5,question
0,0,0,0,0,0,0,2024.10.25startup_a,3162.0,other/diffuse
0,0,1,0,0,0,2,2024.10.25startup_a,3213.3846153846152,question
1,1,0,0,0,1,3,2024.10.25startup_a,4393.0,handoff
0,0,1,0,0,0,3,2024.10.25startup_a,4499.0,question
