mid,date,team,border_share,interior_share,r_int,r_zone,lift,total_rate,n_bounds,n_topic,n_l10,dur_min,week
2024.10.14startup_a,20241014,startup_a,9.000933706816065,90.99906629318393,3.3893557422969187,4.41008018327606,1.301155888784755,3.724604966139955,35,28,7,89.15,0
2024.10.25startup_a,20241025,startup_a,6.670086238244607,93.32991376175539,3.7324574499850702,4.524089306698002,1.2120940070505288,3.9992080776083947,35,28,7,85.78333333333333,1
2024.11.04startup_a,20241104,startup_a,30.170742962621137,69.82925703737887,2.7132867132867133,6.688963210702341,2.465262214253698,3.88560157790927,27,23,5,85.83333333333333,2
2024.11.11startup_a,20241111,startup_a,41.06074401664933,58.93925598335067,2.160138248847926,6.924516531503431,3.205589519650655,3.6650246305418723,29,24,6,85.98333333333333,3
2024.11.18startup_a,20241118,startup_a,10.868439226519339,89.13156077348066,3.0729166666666665,4.468085106382979,1.454020915975478,3.4476190476190474,26,20,6,87.63333333333334,4
2024.12.09startup_a,20241209,startup_a,34.73718487965048,65.26281512034953,2.1586931155192532,5.530474040632054,2.561954731254957,3.307692307692308,34,29,7,88.06666666666666,5
2024.12.13startup_a,20241213,startup_a,51.409214813238016,48.590785186761984,1.9889840881272949,7.937395192845164,3.9906780754181534,4.093335969942654,33,27,6,84.63333333333334,6
2024.12.23startup_a,20241223,startup_a,8.759490510845907,91.24050948915409,3.5981179075560474,4.743589743589744,1.318353057199211,3.9435530639860814,30,24,6,87.23333333333333,7
2025.01.06startup_a,20250106,startup_a,31.834019482348747,68.16598051765125,2.2610792885137174,4.909090909090909,2.1711272727272726,3.317020119630234,42,36,6,92.9,8
2025.01.13startup_a,20250113,startup_a,24.796648867708395,75.2033511322916,2.842983828899322,6.293706293706294,2.2137678834926544,3.7803951367781155,28,23,6,88.31666666666666,9
2025.02.24startup_a,20250224,startup_a,16.6218487394958,83.3781512605042,2.941176470588235,4.982456140350877,1.6940350877192982,3.5275146139891147,27,22,6,83.53333333333333,10
2025.03.02startup_a,20250302,startup_a,27.759766144034018,72.24023385596598,2.0125786163522013,5.525846702317291,2.745655080213904,2.7859525210908376,22,18,5,85.78333333333333,11
2025.03.17startup_a,20250317,startup_a,20.562361593628733,79.43763840637126,2.523313219967087,4.814305364511692,1.9079301477184378,3.176470588235294,28,21,7,86.11666666666666,12
2025.03.25startup_a,20250325,startup_a,32.71396123642978,67.28603876357022,2.7724402964589627,7.8746177370030574,2.8403200411784293,4.1203797212684306,24,20,5,83.55,13
2025.03.31startup_a,20250331,startup_a,25.9397442806055,74.0602557193945,2.0402684563758386,4.887820512820513,2.395675185560054,2.754876332193847,24,20,5,83.8,14
2025.04.07startup_a,20250407,startup_a,35.636201383208146,64.36379861679185,2.420614263404477,6.431535269709543,2.656984785615491,3.7608318890814556,36,30,6,96.83333333333333,15
2025.04.14startup_a,20250414,startup_a,35.43723640562465,64.56276359437535,1.9367764915405163,6.031746031746032,3.1143222039773764,2.9998351738915447,29,26,3,102.36666666666666,16
2024.10.14startup_b,20241014,startup_b,35.27796820207241,64.7220317979276,2.1419437340153453,4.6452084857351865,2.168688379608905,3.3094506994199935,54,48,7,99.06666666666666,0
2024.10.28startup_b,20241028,startup_b,43.44968756733463,56.55031243266537,2.197802197802198,6.690319310694375,3.0440952863659403,3.886454562773862,36,30,6,88.6,1
2024.11.04startup_b,20241104,startup_b,49.197056971838265,50.802943028161735,1.6641452344931922,6.583850931677018,3.9562958780350086,3.2756866734486265,31,26,6,81.9,2
2024.11.11startup_b,20241111,startup_b,53.55844155844156,46.44155844155844,1.2121212121212122,4.844961240310078,3.997093023255814,2.609992542878449,43,37,6,90.91666666666667,3
2024.11.18startup_b,20241118,startup_b,36.39922351065745,63.60077648934255,2.2025171624713957,6.143552311435523,2.7893323221790376,3.463035019455253,32,28,5,87.15,4
2024.12.02startup_b,20241202,startup_b,46.95498369979885,53.04501630020115,1.5779981965734897,3.9986781229345674,2.53401945047682,2.9748283752860414,58,51,7,88.43333333333334,5
2024.12.16startup_b,20241216,startup_b,21.764320700903802,78.2356792990962,2.589976454759502,4.315196998123827,1.6661143734314467,3.3104799216454457,43,37,7,86.23333333333333,6
2024.12.23startup_b,20241223,startup_b,42.40728239186493,57.59271760813507,2.007918552036199,6.392440244580322,3.183615310540284,3.4864104967197753,35,30,6,90.03333333333333,7
2025.01.06startup_b,20250106,startup_b,29.11733859919312,70.88266140080688,2.729145211122554,6.299212598425196,2.308126578517308,3.850229600847757,34,28,6,95.76666666666667,8
2025.01.13startup_b,20250113,startup_b,53.85336426237162,46.14663573762838,1.8119747899159666,8.682811577082102,4.791905287757775,3.9265588074895477,32,26,6,92.38333333333334,9
2025.02.10startup_b,20250210,startup_b,16.60686467596989,83.39313532403011,2.87891617273497,4.647058823529412,1.6141695501730104,3.4522220102994465,33,27,6,88.33333333333333,10
2025.02.24startup_b,20250224,startup_b,63.681317775217735,36.318682224782265,0.8690776562938043,6.258890469416785,7.20176203368054,2.392921777599035,26,22,5,83.7,11
2025.03.17startup_b,20250317,startup_b,38.982699678856314,61.017300321143686,1.9387755102040816,5.307017543859649,2.73730378578024,3.17741935483871,45,40,6,103.88333333333334,12
2025.03.24startup_b,20250324,startup_b,32.91940889466591,67.0805911053341,2.334040618369203,5.592841163310962,2.396205584125047,3.4794574405346967,36,31,5,86.03333333333333,13
2025.03.31startup_b,20250331,startup_b,27.095771144278604,72.9042288557214,2.8358208955223883,7.22972972972973,2.5494310099573254,3.889789303079417,29,24,6,103.75,14
2025.04.07startup_b,20250407,startup_b,9.126530612244897,90.87346938775511,2.5274725274725274,3.129713423831071,1.2382779198635976,2.7813095994914177,50,43,7,106.36666666666666,15
2025.04.14startup_b,20250414,startup_b,56.50627785945996,43.49372214054004,1.5834675254965112,9.41265060240964,5.944328160098019,3.640680648990898,25,23,3,85.11666666666666,16
