cat,tax,label,n,border_lift,pos,border_p,border_q,border_sig,int_lift,int_p,int_q,int_sig
bagree,Bales,agrees,34,0.356525740715967,32,1.280568540096283e-08,8.537123600641887e-08,***,0.1446640871338131,0.0012807671446353197,0.0036593346989580566,**
baskinfo,Bales,asks info,34,0.3926825691724999,32,2.9103830456733704e-09,3.880510727564494e-08,***,0.28461102957241746,8.807983249425888e-07,8.807983249425888e-06,***
baskopin,Bales,asks opinion,34,0.033459288615905906,18,0.3786884272703901,0.44551579678869424,,0.08653808919088396,0.004074234631843865,0.009586434427867918,**
basksug,Bales,asks suggestion,34,0.032700992879875324,15,0.3257509130053222,0.3948495915216027,,0.030450348403716253,0.34285025869030505,0.4728969085383518,
bdisagree,Bales,disagrees,34,0.008344882887973925,17,0.9327671678038314,0.9490697756409645,,0.114605623420738,0.0874475616728887,0.1345347102659826,
bgiveinfo,Bales,gives info,34,-0.07557842189808961,13,0.21498959220480174,0.2687369902560022,,-0.09919625647382753,0.08424431679304689,0.1345347102659826,
bgiveopin,Bales,gives opinion,34,-0.42082145697204326,3,1.280568540096283e-08,8.537123600641887e-08,***,-0.22552516176796072,0.000106214196421206,0.00047206309520536,***
bgivesug,Bales,gives suggestion,34,-0.11496312759633252,12,0.05704390583559871,0.0814912940508553,,0.004060358303093847,0.7871285933069885,0.8745873258966539,
bsolid,Bales,solidarity,34,0.13906207566305515,21,0.009070051251910627,0.015116752086517712,*,0.11416806706604178,0.0036093484377488494,0.009023371094372123,**
btensh,Bales,shows tension,34,0.06062594428890004,19,0.07234449649695307,0.09978551240959044,,0.041352135611337035,0.4775884869741276,0.6162432089988743,
btension,Bales,tension release,34,0.055089294859628275,17,0.15775297058280557,0.2035522201068459,,0.02487470574358928,0.8263502409681678,0.8746060553508309,
arguable,CACS,arguable,34,-0.4173916670339028,5,8.807983249425888e-07,2.935994416475296e-06,***,-0.23077391485196344,0.000106214196421206,0.00047206309520536,***
converge,CACS,convergent,34,0.2173138495425134,27,1.0103569366037846e-05,2.886734104582242e-05,***,0.11719013943786931,0.006879202323034406,0.014482531206388222,*
delim,CACS,delimiting,34,-0.3166454058615753,1,1.7264392226934433e-07,6.905756890773773e-07,***,-0.15182711430482623,0.0012807671446353197,0.0036593346989580566,**
disagree,CACS,disagreement,34,0.004395352132016735,17,0.7871285933069885,0.8285564140073564,,0.07739401782361834,0.4775884869741276,0.6162432089988743,
nonarg,CACS,non-arguable,34,0.9088540893643973,32,2.2118911147117615e-09,3.880510727564494e-08,***,0.5869796220870105,1.467997208237648e-07,5.871988832950592e-06,***
iam1,IAM,sharing,34,-0.1645098097240602,11,0.010102359461598098,0.016163775138556956,*,-0.12466931424805962,0.021598717314191163,0.0392703951167112,*
iam2,IAM,dissonance,34,-0.03052735075380352,15,0.14300302835181355,0.19067070446908474,,0.06608266461171598,0.5887860532384366,0.6926894743981608,
iam3,IAM,negotiation,34,-0.3119927849140808,1,1.594889909029007e-08,9.113656623022897e-08,***,-0.13371438534138563,0.0011152849765494466,0.0036593346989580566,**
iam4,IAM,testing,34,-0.16611283586467004,5,7.672933861613274e-07,2.790157767859372e-06,***,-0.1527805713346894,1.3958779163658619e-05,0.00011167023330926895,***
iam5,IAM,agreement,34,0.14248068552900633,29,0.00034084846265614033,0.0007175757108550323,***,0.07242767126890814,0.07234449649695307,0.12057416082825512,
commissive,ISO,commissive,34,0.10708764398030228,24,0.0024824118008837104,0.004513476001606746,**,0.04842478991921087,0.1629105021711439,0.24134889210539834,
directive,ISO,directive,34,0.11797583263470622,20,0.04639338422566652,0.07137443727025619,,0.14322012746221946,0.0010399332968518138,0.0036593346989580566,**
feedback,ISO,feedback,34,0.482215979383326,30,1.0244548320770264e-08,8.537123600641887e-08,***,0.26471051042616456,3.7404242902994156e-07,7.480848580598831e-06,***
qprop,ISO,prop-question,34,0.3789426581511474,30,1.0523945093154907e-07,4.67730893029107e-07,***,0.24953117158867133,6.672926247119904e-07,8.807983249425888e-06,***
qset,ISO,set-question,34,0.042998220955209415,17,0.6005140317138284,0.6672378130153649,,0.11251549234814727,0.001195474062114954,0.0036593346989580566,**
cumul,Mercer,cumulative,34,0.06544202212706546,23,0.052568246610462666,0.07787888386735209,,0.017922383615065436,0.5097294937586412,0.6371618671983015,
disput,Mercer,disputational,29,0.019882360181733595,10,0.9490697756409645,0.9490697756409645,,0.04195849614304617,0.608884047716856,0.6958674831049783,
explor,Mercer,exploratory,34,-0.39754454534313977,2,2.2118911147117615e-09,3.880510727564494e-08,***,-0.1675799208830815,8.89236107468605e-05,0.00047206309520536,***
coop,act4teams,cooperation,34,0.1727331866901822,24,0.0006277956999838352,0.0012555913999676704,**,0.1463141440189256,0.006141410209238529,0.013647578242752288,*
cprod,act4teams,procedural,33,0.01736624273107459,16,0.5483312094584107,0.6266642393810409,,0.01048199934057299,0.9859368689358234,0.9859368689358234,
ginfo,act4teams,gives info,34,0.17497639194970566,22,0.007276198244653642,0.012654257816788944,*,0.11320907443238246,0.05939454503823072,0.10329486093605343,
ktrans,act4teams,knowledge transfer,34,-0.3005214082230471,2,7.450580596923828e-08,3.725290298461914e-07,***,-0.19634148204138807,6.773427594453096e-05,0.00045156183963020646,***
linkc,act4teams,links consequence,34,-0.1474928119282278,6,2.8655631467700005e-05,7.641501724720001e-05,***,-0.0799821292304258,0.008130305097438395,0.01626061019487679,*
linkp,act4teams,links problem,34,-0.18759156015110331,7,5.123112350702286e-05,0.00012807780876755714,***,-0.09216428458787662,0.0031918033491820097,0.008511475597818693,**
links,act4teams,links solution,34,-0.13430554815671064,6,0.00013789942022413015,0.00032446922405677685,***,0.01052093387883297,0.5317529394524172,0.6445490175180815,
namep,act4teams,names problem,34,-0.19763341703051976,6,1.0103569366037846e-05,2.886734104582242e-05,***,-0.03949264062887734,0.20868658612016588,0.29812369445737985,
names,act4teams,names solution,34,-0.15929238051670644,10,0.00072716164868325,0.001385069807015714,**,-0.014177417000860455,0.8527409039670601,0.8746060553508309,
proact,act4teams,proactive,34,0.004790478296991174,19,0.6242726562777534,0.6748893581381118,,0.011170260501963555,0.8527409039670601,0.8746060553508309,
struct,act4teams,structuring,34,0.28855801262779635,27,0.000290827127173543,0.0006462825048300955,***,0.12120760757562611,0.018677421496249735,0.03557604094523759,*
