mid,team,raw_id,role,n_utt,n_words
2024.10.14startup_a,startup_a,1,A3,49,502
2024.10.14startup_a,startup_a,2,FACILITATOR,219,6699
2024.10.14startup_a,startup_a,3,A2,92,1579
2024.10.14startup_a,startup_a,4,A1,144,2225
2024.10.14startup_b,startup_b,1,FACILITATOR,287,5653
2024.10.14startup_b,startup_b,2,DEVICE,126,1343
2024.10.14startup_b,startup_b,3,B3,185,2378
2024.10.14startup_b,startup_b,4,B1,260,3307
2024.10.25startup_a,startup_a,1,FACILITATOR,199,4876
2024.10.25startup_a,startup_a,2,A1,137,2957
2024.10.25startup_a,startup_a,3,A2,106,2351
2024.10.25startup_a,startup_a,4,A3,71,1459
2024.10.28startup_b,startup_b,1,B3,116,1410
2024.10.28startup_b,startup_b,2,FACILITATOR,121,3049
2024.10.28startup_b,startup_b,3,B2,102,2323
2024.10.28startup_b,startup_b,4,B1,193,5257
2024.11.04startup_a,startup_a,1,FACILITATOR,164,5762
2024.11.04startup_a,startup_a,2,A3,37,579
2024.11.04startup_a,startup_a,3,A1,167,3575
2024.11.04startup_a,startup_a,4,A2,52,1369
2024.11.04startup_b,startup_b,1,FACILITATOR,140,3392
2024.11.04startup_b,startup_b,2,B2,76,1251
2024.11.04startup_b,startup_b,3,B1,170,4667
2024.11.04startup_b,startup_b,4,B3,75,1025
2024.11.11startup_a,startup_a,1,FACILITATOR,163,4307
2024.11.11startup_a,startup_a,2,A3,33,787
2024.11.11startup_a,startup_a,3,A1,152,3269
2024.11.11startup_a,startup_a,4,A2,83,1750
2024.11.11startup_b,startup_b,1,FACILITATOR,187,4878
2024.11.11startup_b,startup_b,2,B2,116,2029
2024.11.11startup_b,startup_b,3,B1,209,4013
2024.11.11startup_b,startup_b,4,B3,158,1986
2024.11.18startup_a,startup_a,1,FACILITATOR,150,4468
2024.11.18startup_a,startup_a,2,A1,139,4232
2024.11.18startup_a,startup_a,3,A3,15,278
2024.11.18startup_a,startup_a,4,A2,64,1924
2024.11.18startup_b,startup_b,1,FACILITATOR,150,3496
2024.11.18startup_b,startup_b,2,DEVICE,90,1655
2024.11.18startup_b,startup_b,3,B3,105,2233
2024.11.18startup_b,startup_b,4,B1,162,4454
2024.12.02startup_b,startup_b,1,DEVICE,260,2765
2024.12.02startup_b,startup_b,2,FACILITATOR,240,3643
2024.12.02startup_b,startup_b,3,B1,258,2586
2024.12.02startup_b,startup_b,4,B3,164,1088
2024.12.09startup_a,startup_a,1,A1,203,5495
2024.12.09startup_a,startup_a,2,FACILITATOR,182,3289
2024.12.09startup_a,startup_a,3,A3,74,1587
2024.12.09startup_a,startup_a,4,A2,55,1213
2024.12.13startup_a,startup_a,1,FACILITATOR,199,5055
2024.12.13startup_a,startup_a,2,A3,162,2955
2024.12.13startup_a,startup_a,3,A2,130,2534
2024.12.16startup_b,startup_b,1,FACILITATOR,202,3812
2024.12.16startup_b,startup_b,2,DEVICE,149,2919
2024.12.16startup_b,startup_b,3,B1,205,4186
2024.12.16startup_b,startup_b,4,B3,106,1289
2024.12.23startup_a,startup_a,1,A3,59,1156
2024.12.23startup_a,startup_a,2,FACILITATOR,149,3357
2024.12.23startup_a,startup_a,3,A1,129,3636
2024.12.23startup_a,startup_a,4,A2,102,1952
2024.12.23startup_b,startup_b,1,FACILITATOR,209,5072
2024.12.23startup_b,startup_b,2,B2,126,2411
2024.12.23startup_b,startup_b,3,B3,87,1591
2024.12.23startup_b,startup_b,4,B1,109,2172
2025.01.06startup_a,startup_a,1,A2,210,3025
2025.01.06startup_a,startup_a,2,FACILITATOR,253,5375
2025.01.06startup_a,startup_a,3,A1,194,5163
2025.01.06startup_b,startup_b,1,FACILITATOR,179,4797
2025.01.06startup_b,startup_b,2,DEVICE,112,1532
2025.01.06startup_b,startup_b,3,B1,210,6594
2025.01.13startup_a,startup_a,1,FACILITATOR,179,5817
2025.01.13startup_a,startup_a,2,A1,113,2771
2025.01.13startup_a,startup_a,3,A2,92,2064
2025.01.13startup_a,startup_a,4,A3,31,738
2025.01.13startup_b,startup_b,1,FACILITATOR,184,6932
2025.01.13startup_b,startup_b,2,DEVICE,126,2673
2025.01.13startup_b,startup_b,3,B3,62,540
2025.01.13startup_b,startup_b,4,B1,99,3013
2025.02.10startup_b,startup_b,1,FACILITATOR,189,5086
2025.02.10startup_b,startup_b,2,DEVICE,179,3798
2025.02.10startup_b,startup_b,3,B3,113,1536
2025.02.24startup_a,startup_a,1,A2,141,2188
2025.02.24startup_a,startup_a,2,FACILITATOR,151,4929
2025.02.24startup_a,startup_a,3,A1,85,2116
2025.02.24startup_a,startup_a,4,A3,14,537
2025.02.24startup_b,startup_b,1,B1,57,1565
2025.02.24startup_b,startup_b,2,B2,138,2568
2025.02.24startup_b,startup_b,3,FACILITATOR,179,6334
2025.02.24startup_b,startup_b,4,B3,31,602
2025.03.02startup_a,startup_a,1,FACILITATOR,118,4098
2025.03.02startup_a,startup_a,2,A1,85,2673
2025.03.02startup_a,startup_a,3,A2,90,2386
2025.03.02startup_a,startup_a,4,A3,31,642
2025.03.17startup_a,startup_a,1,FACILITATOR,172,5695
2025.03.17startup_a,startup_a,2,A3,14,265
2025.03.17startup_a,startup_a,3,A1,148,4566
2025.03.17startup_a,startup_a,4,BOT,1,11
2025.03.17startup_a,startup_a,5,A2,51,791
2025.03.17startup_b,startup_b,1,FACILITATOR,275,8527
2025.03.17startup_b,startup_b,2,B2,225,3601
2025.03.17startup_b,startup_b,3,BOT,1,11
2025.03.17startup_b,startup_b,4,B3,41,353
2025.03.17startup_b,startup_b,5,B1,176,2422
2025.03.24startup_b,startup_b,1,B2,144,2021
2025.03.24startup_b,startup_b,2,FACILITATOR,195,4477
2025.03.24startup_b,startup_b,3,B3,60,634
2025.03.24startup_b,startup_b,4,BOT,1,11
2025.03.24startup_b,startup_b,5,B1,159,2024
2025.03.25startup_a,startup_a,1,A2,46,804
2025.03.25startup_a,startup_a,2,FACILITATOR,152,5253
2025.03.25startup_a,startup_a,3,A3,12,181
2025.03.25startup_a,startup_a,4,BOT,1,11
2025.03.25startup_a,startup_a,5,A1,147,4034
2025.03.31startup_a,startup_a,1,FACILITATOR,149,3904
2025.03.31startup_a,startup_a,2,A1,149,4169
2025.03.31startup_a,startup_a,3,BOT,1,11
2025.03.31startup_a,startup_a,4,A3,17,341
2025.03.31startup_a,startup_a,5,A2,41,1097
2025.03.31startup_b,startup_b,1,FACILITATOR,181,7651
2025.03.31startup_b,startup_b,2,B1,132,4184
2025.03.31startup_b,startup_b,3,B3,23,245
2025.03.31startup_b,startup_b,4,BOT,1,11
2025.03.31startup_b,startup_b,5,DEVICE,104,1774
2025.04.07startup_a,startup_a,1,FACILITATOR,244,6426
2025.04.07startup_a,startup_a,2,A2,228,4234
2025.04.07startup_a,startup_a,3,BOT,1,11
2025.04.07startup_a,startup_a,4,A1,69,2595
2025.04.07startup_b,startup_b,1,FACILITATOR,292,5660
2025.04.07startup_b,startup_b,2,B3,161,2052
2025.04.07startup_b,startup_b,3,BOT,1,11
2025.04.07startup_b,startup_b,4,B1,188,3557
2025.04.07startup_b,startup_b,5,B2,125,2100
2025.04.14startup_a,startup_a,1,FACILITATOR,216,7603
2025.04.14startup_a,startup_a,2,A3,114,2351
2025.04.14startup_a,startup_a,3,BOT,1,11
2025.04.14startup_a,startup_a,4,A2,144,2681
2025.04.14startup_b,startup_b,1,B1,133,3839
2025.04.14startup_b,startup_b,2,FACILITATOR,178,6520
2025.04.14startup_b,startup_b,3,BOT,1,11
2025.04.14startup_b,startup_b,4,DEVICE,38,678
2025.04.14startup_b,startup_b,5,B3,67,1370
