outcome,predictor,startup_a_r,startup_a_n,startup_b_r,startup_b_n
rating_mean,baseline_entropy,-0.36017557798842875,17,-0.4600077639096354,15
rating_mean,entropy_sd,-0.10468771124923189,17,-0.46583064699709914,15
rating_mean,det_median,0.2367936325875483,17,0.37266451759767927,15
rating_mean,pct_time_reorganizing,-0.2417787616946546,17,0.12228054483673853,15
rating_mean,reorg_event_rate,-0.27168953633729226,17,0.22126955732362208,15
rating_mean,mean_event_depth,0.11341168718666787,17,-0.1048118955743473,15
rating_mean,mean_event_peak_z,0.03364962147296739,17,-0.4716535300845629,15
rating_mean,boundary_alignment_pct,0.24801017307853743,17,0.09898901248688356,15
rating_mean,ids_entropy,-0.2878912059353877,17,-0.4192475822973892,15
rating_mean,ids_det,0.03240333919619082,17,0.43089334847231664,15
rating_mean,ids_reorg_rate,-0.09970258214212559,17,0.3202585698105056,15
rating_mean,review_entropy,-0.33658690729545393,16,-0.46586945707932903,14
rating_mean,review_det,0.21595177680460537,16,0.14117256275131185,14
rating_mean,review_reorg_rate,-0.12957106608276323,16,-0.07999778555907672,14
todo_completion_rate,baseline_entropy,-0.036688177914063515,14,0.00721406092249675,15
todo_completion_rate,entropy_sd,0.25223122315918667,14,0.11362145952932383,15
todo_completion_rate,det_median,0.302677467791024,14,0.025249213228738625,15
todo_completion_rate,pct_time_reorganizing,-0.020637100076660725,14,0.03246327415123537,15
todo_completion_rate,reorg_event_rate,-0.380639845858409,14,0.3877557745842003,15
todo_completion_rate,mean_event_depth,0.43108609049024627,14,0.2110112819830299,15
todo_completion_rate,mean_event_peak_z,0.3347796234658296,14,-0.2849554064386216,15
todo_completion_rate,boundary_alignment_pct,0.300384456671395,14,-0.3282397719736021,15
todo_completion_rate,ids_entropy,0.0022930111196289697,14,-0.0018035152306241876,15
todo_completion_rate,ids_det,0.20866401188623623,14,0.09378279199245775,15
todo_completion_rate,ids_reorg_rate,0.2980914455517661,14,0.115424974759948,15
todo_completion_rate,review_entropy,-0.25223122315918667,14,0.03426678938185956,15
todo_completion_rate,review_det,0.5319785797539209,14,-0.11903200522119638,15
todo_completion_rate,review_reorg_rate,-0.4012769459350697,14,0.16231637075617686,15
issue_resolution_rate_same_meeting,baseline_entropy,-0.37020646462444284,17,-0.3298430947343701,17
issue_resolution_rate_same_meeting,entropy_sd,-0.06382870079731773,17,-0.29388275733851776,17
issue_resolution_rate_same_meeting,det_median,0.09701962521192294,17,-0.024800232686794748,17
issue_resolution_rate_same_meeting,pct_time_reorganizing,-0.05106296063785418,17,-0.026040244321134484,17
issue_resolution_rate_same_meeting,reorg_event_rate,0.10467906930760107,17,0.011160104709057634,17
issue_resolution_rate_same_meeting,mean_event_depth,-0.06382870079731773,17,0.12772119833699294,17
issue_resolution_rate_same_meeting,mean_event_peak_z,-0.08936018111624482,17,0.26412247811436407,17
issue_resolution_rate_same_meeting,boundary_alignment_pct,-0.13021054962652817,17,0.07068066315736501,17
issue_resolution_rate_same_meeting,ids_entropy,-0.33956868824173025,17,-0.1537614426581274,17
issue_resolution_rate_same_meeting,ids_det,0.2502085071254855,17,-0.1091210238218969,17
issue_resolution_rate_same_meeting,ids_reorg_rate,0.06638184882921044,17,0.1922018033226593,17
issue_resolution_rate_same_meeting,review_entropy,-0.14434423154319326,16,0.0,16
issue_resolution_rate_same_meeting,review_det,-0.05621827965366476,16,-0.07738643630799098,16
issue_resolution_rate_same_meeting,review_reorg_rate,-0.17625190377905708,16,-0.12500885865137004,16
