predictor,n,r,lo,hi,p,q,sig,outcome
baseline_entropy,32,-0.34013790463169924,-0.6157959853061645,0.009707402596653252,0.056807176954260484,0.4945449463139484,,rating_mean
entropy_sd,32,-0.2659052337831471,-0.5624491691028937,0.09124933361479876,0.14129855608969955,0.4945449463139484,,rating_mean
det_median,32,0.19205324329792084,-0.16788351797744133,0.5068074307438178,0.29232477850882305,0.5944499119775724,,rating_mean
pct_time_reorganizing,32,-0.09041158628990328,-0.4256854088450884,0.26669004757153864,0.6226438768221068,0.8658114325722188,,rating_mean
reorg_event_rate,32,0.07575539230185581,-0.28034399002637267,0.41352589053573974,0.6802804113067433,0.8658114325722188,,rating_mean
mean_event_depth,32,0.0019034018166295427,-0.34702088768801154,0.35036483311546246,0.9917509226796828,0.9980834432135468,,rating_mean
mean_event_peak_z,32,-0.2318343412654783,-0.53710884243013,0.1271373121208644,0.2016888670723553,0.5647288278025948,,rating_mean
boundary_alignment_pct,32,0.19014984148129133,-0.1698027475003031,0.5053378393580922,0.2972249559887862,0.5944499119775724,,rating_mean
ids_entropy,32,-0.28246482958782415,-0.5745674755234742,0.07346498476617326,0.11725952169290282,0.4945449463139484,,rating_mean
ids_det,32,0.16921242149836632,-0.19073558742037497,0.489050758042122,0.35453590614377883,0.620437835751613,,rating_mean
ids_reorg_rate,32,0.10678084191291735,-0.2512688305370255,0.4391245217186597,0.5607833333158545,0.8658114325722188,,rating_mean
review_entropy,30,-0.2892365485227689,-0.5882122721465063,0.07929550575938576,0.12108248686895562,0.4945449463139484,,rating_mean
review_det,30,0.0004580151203844323,-0.35987058927176613,0.3606677243850929,0.9980834432135468,0.9980834432135468,,rating_mean
review_reorg_rate,30,-0.053816776645170795,-0.40621018164444767,0.312511585668376,0.7776014213531492,0.9072016582453408,,rating_mean
baseline_entropy,29,0.12097230923009353,-0.2569246464745312,0.466782244852444,0.5319037944167054,0.834046358302947,,todo_completion_rate
entropy_sd,29,0.19979138081093797,-0.1798864218908522,0.5276593723619425,0.29875533870234333,0.834046358302947,,todo_completion_rate
det_median,29,-0.0611097232193256,-0.41824787801911584,0.31239263129407224,0.7528339608366477,0.9058056274720238,,todo_completion_rate
pct_time_reorganizing,29,-0.11972517202153586,-0.46579192117003,0.25810619408519464,0.5361726589090374,0.834046358302947,,todo_completion_rate
reorg_event_rate,29,0.1416747868921508,-0.23714452903422784,0.4830958968588247,0.4635020415252279,0.834046358302947,,todo_completion_rate
mean_event_depth,29,0.3085417453971664,-0.06535435310878052,0.6064667655793675,0.10342454096131015,0.834046358302947,,todo_completion_rate
mean_event_peak_z,29,-0.14890818270178524,-0.4887405079231246,0.230158558288268,0.44074543813942846,0.834046358302947,,todo_completion_rate
boundary_alignment_pct,29,0.15938413525366962,-0.21997120227899414,0.49686533016597323,0.4088870017842987,0.834046358302947,,todo_completion_rate
ids_entropy,29,0.07757193437228678,-0.29738866817357196,0.431801262922543,0.6891814671797498,0.9058056274720238,,todo_completion_rate
ids_det,29,0.038162398581864564,-0.3330008744985024,0.39908616370535,0.8441857629271374,0.9091231293061479,,todo_completion_rate
ids_reorg_rate,29,0.05512346461824881,-0.3178028032025104,0.41327962819128333,0.7764048235474489,0.9058056274720238,,todo_completion_rate
review_entropy,29,0.1531484492108813,-0.2260450888770688,0.4920362428632484,0.427691814784831,0.834046358302947,,todo_completion_rate
review_det,29,-0.17859004826545766,-0.5116087505070115,0.20107697555991105,0.3539709262152143,0.834046358302947,,todo_completion_rate
review_reorg_rate,29,-0.010475952551884389,-0.3755397470020487,0.35740196875088565,0.9569873126314926,0.9569873126314926,,todo_completion_rate
baseline_entropy,34,-0.40580415754197546,-0.6541952632940965,-0.07839677444827978,0.01725675664614204,0.22337255043884713,,issue_resolution_rate_same_meeting
entropy_sd,34,-0.19793051175669094,-0.5024645913657739,0.15029492248560575,0.2618200168355988,0.40727558174426476,,issue_resolution_rate_same_meeting
det_median,34,0.28120425924616216,-0.0629473286862371,0.5655863000112824,0.10716739445102783,0.22337255043884713,,issue_resolution_rate_same_meeting
pct_time_reorganizing,34,0.0975670026555745,-0.24880781361431234,0.42181540161849745,0.5830456581383932,0.680219934494792,,issue_resolution_rate_same_meeting
reorg_event_rate,34,-0.06416428677826794,-0.3937855619966192,0.28007860141757973,0.7184610459435212,0.7184610459435212,,issue_resolution_rate_same_meeting
mean_event_depth,34,0.07566103549882927,-0.26939745656033925,0.4035027257951943,0.6706292795228475,0.7184610459435212,,issue_resolution_rate_same_meeting
mean_event_peak_z,34,0.2777863069238331,-0.06663934414178196,0.5630594394209443,0.11168627521942356,0.22337255043884713,,issue_resolution_rate_same_meeting
boundary_alignment_pct,34,-0.2513748571603814,-0.5433521681052234,0.09485403628611928,0.15155103611661594,0.2652143132040779,,issue_resolution_rate_same_meeting
