cat,team_a_delta,team_b_delta
arguable,-5.795890846311358,-4.838480868817941
bagree,-0.4766060359556179,-0.5878161383193525
bantag,0.16408291755761464,-0.020903010033444816
baskinfo,-0.3406375805738701,1.5203298589470475
baskopin,-1.609547157104593,-0.15124745356436958
basksug,-0.0799804716821343,-0.03970632876383086
bdisagree,-1.1054238087357289,-0.45769656665888836
bgiveinfo,-0.326188775900621,0.39219942168914335
bgiveopin,-4.749084906448231,-3.6409825722851035
bgivesug,-1.6693712876898052,-1.5731207243594225
bsolid,0.3588795715252016,-0.8500370407524493
btensh,0.760352402341263,0.2635910075379793
btension,0.14575674612648595,-0.5026577660272121
commissive,0.43462883077138514,0.8644498473743156
converge,-0.7753050957814117,-0.5858507588599071
coop,0.23692465799730333,-0.36200137586439096
cprod,0.059750880477704285,-0.07118510111913723
cumul,0.03541354698447796,0.04746128533098526
delim,-0.9053003484927519,-1.202102072648914
directive,-1.5362607740308467,-0.5985554389921988
disagree,-1.5033820126707385,-0.04815537799603073
disput,-0.38837606249229933,0.23020979315838996
explor,-4.645821593850472,-4.201633716447034
feedback,0.20692032217538847,0.273218638116772
ginfo,2.0061295632858633,2.2087697382399436
iam1,-0.7393134106888244,0.13608203314797174
iam2,-1.2859688723677563,-0.14020645224131836
iam3,-3.6196333609413047,-3.8715166375818595
iam4,-3.132274238325043,-2.9293367120164975
iam5,-0.39312543108145426,-0.9405649267676577
ktrans,-3.406947119660436,-2.9712140551750283
linkc,-2.1219438262061323,-2.645108121750471
linkp,-2.598969215862304,-2.521406968484123
links,-2.87065245681557,-3.4343183685716934
namep,-1.1216095610479162,-1.2379232636448467
names,-2.426236499549514,-2.703781015877607
nonarg,5.367550902059989,4.986606667117405
proact,-0.9216708749530678,-1.6354507380955146
qprop,-0.8314379116128714,-0.017047472803354002
qset,-1.0025533171752186,-0.6802001112531125
struct,1.7315381100464515,1.6192764668685382
