cat,team_a_lift,team_b_lift,n_a,n_b
arguable,-0.3143083699278779,-0.3758168358491658,17,17
converge,0.15395158451752675,0.18838800973258882,17,17
disagree,-0.0060215080241098435,0.05868874888756202,17,17
delim,-0.22135883917467666,-0.28845787248223226,17,17
nonarg,0.6103191832466235,0.9984689091747129,17,17
iam1,-0.12431832856907409,-0.16301095084741896,17,17
iam2,-0.01817346653387611,0.01807225122842778,17,17
iam3,-0.2189922340848547,-0.25676114301837566,17,17
iam4,-0.12805876094492027,-0.20620610773844822,17,17
iam5,0.10782248717768654,0.12597960314164133,17,17
disput,0.024653444514165082,0.02875343088145527,16,13
cumul,0.07127606313113495,0.01777996955484583,17,17
explor,-0.27208281158438513,-0.34930964685833404,17,17
bgiveinfo,-0.08476606413092518,-0.06440482223526545,17,17
bgiveopin,-0.29815456175029764,-0.39224808165198294,17,17
bgivesug,-0.050735786289214824,-0.07126575248921162,17,17
baskinfo,0.33529652545671795,0.356603135749617,17,17
baskopin,0.0451585658312345,0.05926170779347458,17,17
basksug,0.042451434623194145,0.015117202071468534,17,17
bsolid,0.11948004987794224,0.17718586180962173,17,17
btension,0.05227924971102392,0.04251000617763808,17,17
bagree,0.2330504498485103,0.29674341993225073,17,17
bdisagree,0.044232844049206715,0.04606832457030351,17,17
btensh,0.03150027948989497,0.07748985325108239,17,17
namep,-0.12467821905838028,-0.15508639530651783,17,17
linkp,-0.1376149388690124,-0.16785581511703485,17,17
names,-0.05880734661642653,-0.12763668599644115,17,17
links,-0.05794114851417449,-0.09593580057859058,17,17
linkc,-0.08629109378995006,-0.15113610339598343,17,17
cprod,0.014861393783333092,0.01664920092557431,17,16
proact,0.039896848359806066,-0.02890110712516539,17,17
struct,0.22288869069984396,0.20108073874133633,17,17
ginfo,0.15598110781700256,0.1429295189747261,17,17
ktrans,-0.19255594290469216,-0.31643011733524784,17,17
coop,0.169509938944191,0.16737612559028392,17,17
qset,0.059465494590110836,0.09106651737638236,17,17
qprop,0.3159352327734954,0.30605133495448833,17,17
directive,0.16039435406251049,0.0896857182345202,17,17
commissive,0.06665569661401893,0.08836634777169602,17,17
feedback,0.3369141043467065,0.4264259877642058,17,17
