mid,n_utterances,n_laughter_tokens,n_exclamations
2024.10.14startup_a,504,0,0
2024.10.14startup_b,858,0,0
2024.10.25startup_a,513,0,1
2024.10.28startup_b,532,0,0
2024.11.04startup_a,420,0,0
2024.11.04startup_b,461,0,0
2024.11.11startup_a,431,0,0
2024.11.11startup_b,670,0,0
2024.11.18startup_a,368,0,0
2024.11.18startup_b,507,0,0
2024.12.02startup_b,922,0,0
2024.12.09startup_a,514,0,0
2024.12.13startup_a,491,0,0
2024.12.16startup_b,662,0,0
2024.12.23startup_a,439,0,0
2024.12.23startup_b,531,0,0
2025.01.06startup_a,657,0,0
2025.01.06startup_b,501,0,0
2025.01.13startup_a,415,0,0
2025.01.13startup_b,471,0,0
2025.02.10startup_b,481,0,0
2025.02.24startup_a,391,0,0
2025.02.24startup_b,405,0,0
2025.03.02startup_a,324,0,0
2025.03.17startup_a,386,0,0
2025.03.17startup_b,718,1,0
2025.03.24startup_b,559,0,0
2025.03.25startup_a,358,0,0
2025.03.31startup_a,357,0,0
2025.03.31startup_b,441,0,0
2025.04.07startup_a,542,0,0
2025.04.07startup_b,767,0,0
2025.04.14startup_a,475,0,0
2025.04.14startup_b,417,0,0
